,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.017541399982292205,10.0,200.0,200,0.25,1024
1,1,0.04193389997817576,2.0,402.0,200,0.25,1024
2,2,0.0715784999774769,1.0,604.0,200,0.25,1024
3,3,0.10478639998473227,1.0,805.0,200,0.25,1024
4,4,0.1405181000009179,1.0,1006.0,200,0.25,1024
5,5,0.17228020000038669,1.0,1207.0,200,0.25,1024
6,6,0.1996019000071101,1.0,1408.0,200,0.25,1024
7,7,0.2343418999807909,1.0,1609.0,200,0.25,1024
8,8,0.26272890000836924,1.0,1810.0,200,0.25,1024
9,9,0.2903005999978632,1.0,2011.0,200,0.25,1024
10,10,0.321755499986466,1.0,2212.0,200,0.25,1024
11,11,0.35364709998248145,0.0,2414.0,200,0.25,1024
12,0,0.017541399982292205,10.0,200.0,200,0.5,1024
13,1,0.04193389997817576,2.0,402.0,200,0.5,1024
14,2,0.0715784999774769,1.0,604.0,200,0.5,1024
15,3,0.10478639998473227,1.0,805.0,200,0.5,1024
16,4,0.1405181000009179,1.0,1006.0,200,0.5,1024
17,5,0.17228020000038669,1.0,1207.0,200,0.5,1024
18,6,0.1996019000071101,0.0,1409.0,200,0.5,1024
19,0,0.017541399982292205,10.0,200.0,200,0.75,1024
20,1,0.04193389997817576,3.0,402.0,200,0.75,1024
21,2,0.0715784999774769,2.0,604.0,200,0.75,1024
22,3,0.10478639998473227,1.0,806.0,200,0.75,1024
23,4,0.1405181000009179,1.0,1007.0,200,0.75,1024
24,5,0.17228020000038669,1.0,1208.0,200,0.75,1024
25,6,0.1996019000071101,1.0,1409.0,200,0.75,1024
26,7,0.2343418999807909,1.0,1610.0,200,0.75,1024
27,8,0.26272890000836924,1.0,1811.0,200,0.75,1024
28,9,0.2903005999978632,0.0,2013.0,200,0.75,1024
29,0,0.017541399982292205,10.0,400.0,400,0.25,1024
30,1,0.04193389997817576,2.0,802.0,400,0.25,1024
31,2,0.0715784999774769,1.0,1204.0,400,0.25,1024
32,3,0.10478639998473227,1.0,1605.0,400,0.25,1024
33,4,0.1405181000009179,0.0,2007.0,400,0.25,1024
34,0,0.017541399982292205,10.0,400.0,400,0.5,1024
35,1,0.04193389997817576,2.0,802.0,400,0.5,1024
36,2,0.0715784999774769,2.0,1203.0,400,0.5,1024
37,3,0.10478639998473227,1.0,1605.0,400,0.5,1024
38,4,0.1405181000009179,1.0,2006.0,400,0.5,1024
39,5,0.17228020000038669,1.0,2407.0,400,0.5,1024
40,6,0.1996019000071101,1.0,2808.0,400,0.5,1024
41,7,0.2343418999807909,1.0,3209.0,400,0.5,1024
42,8,0.26272890000836924,1.0,3610.0,400,0.5,1024
43,9,0.2903005999978632,1.0,4011.0,400,0.5,1024
44,10,0.321755499986466,0.0,4413.0,400,0.5,1024
45,0,0.017541399982292205,10.0,400.0,400,0.75,1024
46,1,0.04193389997817576,1.0,802.0,400,0.75,1024
47,2,0.0715784999774769,0.0,1204.0,400,0.75,1024
48,0,0.017541399982292205,10.0,600.0,600,0.25,1024
49,1,0.04193389997817576,1.0,1202.0,600,0.25,1024
50,2,0.0715784999774769,1.0,1803.0,600,0.25,1024
51,3,0.10478639998473227,1.0,2404.0,600,0.25,1024
52,4,0.1405181000009179,1.0,3005.0,600,0.25,1024
53,5,0.17228020000038669,1.0,3606.0,600,0.25,1024
54,6,0.1996019000071101,1.0,4207.0,600,0.25,1024
55,7,0.2343418999807909,0.0,4809.0,600,0.25,1024
56,0,0.017541399982292205,10.0,600.0,600,0.5,1024
57,1,0.04193389997817576,2.0,1202.0,600,0.5,1024
58,2,0.0715784999774769,1.0,1804.0,600,0.5,1024
59,3,0.10478639998473227,1.0,2405.0,600,0.5,1024
60,4,0.1405181000009179,1.0,3006.0,600,0.5,1024
61,5,0.17228020000038669,1.0,3607.0,600,0.5,1024
62,6,0.1996019000071101,1.0,4208.0,600,0.5,1024
63,7,0.2343418999807909,1.0,4809.0,600,0.5,1024
64,8,0.26272890000836924,1.0,5410.0,600,0.5,1024
65,9,0.2903005999978632,1.0,6011.0,600,0.5,1024
66,10,0.321755499986466,1.0,6612.0,600,0.5,1024
67,11,0.35364709998248145,0.0,7214.0,600,0.5,1024
68,0,0.017541399982292205,10.0,600.0,600,0.75,1024
69,1,0.04193389997817576,2.0,1202.0,600,0.75,1024
70,2,0.0715784999774769,2.0,1803.0,600,0.75,1024
71,3,0.10478639998473227,1.0,2405.0,600,0.75,1024
72,4,0.1405181000009179,1.0,3006.0,600,0.75,1024
73,5,0.17228020000038669,1.0,3607.0,600,0.75,1024
74,6,0.1996019000071101,1.0,4208.0,600,0.75,1024
75,7,0.2343418999807909,1.0,4809.0,600,0.75,1024
76,8,0.26272890000836924,0.0,5411.0,600,0.75,1024
