,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,5.0,200,0.008956899982877076,"[1, 2, 2, 1, 0, 3, 7, 3, 3, 0, 7, 4, 0, 2, 2, 4, 3, 4, 3, 7]",200,0.25,1024
1,1,1.0,402,0.02792680001584813,"[3, 5, 7, 3, 3, 7, 1, 4, 4, 6, 4, 7, 0, 2, 5, 3, 6, 1, 2, 2]",200,0.25,1024
2,2,1.0,603,0.048844599979929626,"[3, 5, 7, 3, 3, 7, 1, 4, 4, 6, 4, 7, 0, 2, 5, 3, 6, 1, 2, 2]",200,0.25,1024
3,4,0.0,1006,0.09214429999701679,"[2, 5, 0, 4, 4, 3, 6, 2, 1, 0, 1, 6, 7, 6, 1, 4, 4, 1, 0, 5]",200,0.25,1024
4,8,0.0,1006,0.09214429999701679,"[2, 5, 0, 4, 4, 3, 6, 2, 1, 0, 1, 6, 7, 6, 1, 4, 4, 1, 0, 5]",200,0.25,1024
5,16,0.0,1006,0.09214429999701679,"[2, 5, 0, 4, 4, 3, 6, 2, 1, 0, 1, 6, 7, 6, 1, 4, 4, 1, 0, 5]",200,0.25,1024
6,32,0.0,1006,0.09214429999701679,"[2, 5, 0, 4, 4, 3, 6, 2, 1, 0, 1, 6, 7, 6, 1, 4, 4, 1, 0, 5]",200,0.25,1024
7,64,0.0,1006,0.09214429999701679,"[2, 5, 0, 4, 4, 3, 6, 2, 1, 0, 1, 6, 7, 6, 1, 4, 4, 1, 0, 5]",200,0.25,1024
8,128,0.0,1006,0.09214429999701679,"[2, 5, 0, 4, 4, 3, 6, 2, 1, 0, 1, 6, 7, 6, 1, 4, 4, 1, 0, 5]",200,0.25,1024
9,256,0.0,1006,0.09214429999701679,"[2, 5, 0, 4, 4, 3, 6, 2, 1, 0, 1, 6, 7, 6, 1, 4, 4, 1, 0, 5]",200,0.25,1024
10,512,0.0,1006,0.09214429999701679,"[2, 5, 0, 4, 4, 3, 6, 2, 1, 0, 1, 6, 7, 6, 1, 4, 4, 1, 0, 5]",200,0.25,1024
11,1024,0.0,1006,0.09214429999701679,"[2, 5, 0, 4, 4, 3, 6, 2, 1, 0, 1, 6, 7, 6, 1, 4, 4, 1, 0, 5]",200,0.25,1024
12,0,5.0,200,0.007175599981565028,"[1, 2, 2, 1, 0, 3, 7, 3, 3, 0, 7, 4, 0, 2, 2, 4, 3, 4, 3, 7]",200,0.5,1024
13,1,1.0,402,0.02758619998348877,"[2, 5, 7, 3, 3, 5, 0, 4, 1, 6, 0, 7, 4, 3, 1, 5, 6, 2, 2, 2]",200,0.5,1024
14,2,1.0,603,0.04847209999570623,"[2, 5, 7, 3, 3, 5, 0, 4, 1, 6, 0, 7, 4, 3, 1, 5, 6, 2, 2, 2]",200,0.5,1024
15,4,0.0,805,0.07071679999353364,"[3, 1, 2, 2, 7, 1, 7, 6, 7, 0, 0, 5, 1, 1, 0, 1, 4, 2, 3, 7]",200,0.5,1024
16,8,0.0,805,0.07071679999353364,"[3, 1, 2, 2, 7, 1, 7, 6, 7, 0, 0, 5, 1, 1, 0, 1, 4, 2, 3, 7]",200,0.5,1024
17,16,0.0,805,0.07071679999353364,"[3, 1, 2, 2, 7, 1, 7, 6, 7, 0, 0, 5, 1, 1, 0, 1, 4, 2, 3, 7]",200,0.5,1024
18,32,0.0,805,0.07071679999353364,"[3, 1, 2, 2, 7, 1, 7, 6, 7, 0, 0, 5, 1, 1, 0, 1, 4, 2, 3, 7]",200,0.5,1024
19,64,0.0,805,0.07071679999353364,"[3, 1, 2, 2, 7, 1, 7, 6, 7, 0, 0, 5, 1, 1, 0, 1, 4, 2, 3, 7]",200,0.5,1024
20,128,0.0,805,0.07071679999353364,"[3, 1, 2, 2, 7, 1, 7, 6, 7, 0, 0, 5, 1, 1, 0, 1, 4, 2, 3, 7]",200,0.5,1024
21,256,0.0,805,0.07071679999353364,"[3, 1, 2, 2, 7, 1, 7, 6, 7, 0, 0, 5, 1, 1, 0, 1, 4, 2, 3, 7]",200,0.5,1024
22,512,0.0,805,0.07071679999353364,"[3, 1, 2, 2, 7, 1, 7, 6, 7, 0, 0, 5, 1, 1, 0, 1, 4, 2, 3, 7]",200,0.5,1024
23,1024,0.0,805,0.07071679999353364,"[3, 1, 2, 2, 7, 1, 7, 6, 7, 0, 0, 5, 1, 1, 0, 1, 4, 2, 3, 7]",200,0.5,1024
24,0,5.0,200,0.009033099981024861,"[1, 2, 2, 1, 0, 3, 7, 3, 3, 0, 7, 4, 0, 2, 2, 4, 3, 4, 3, 7]",200,0.75,1024
25,1,0.0,402,0.029629500000737607,"[7, 1, 0, 3, 3, 6, 4, 7, 4, 0, 3, 0, 7, 1, 7, 1, 2, 5, 1, 6]",200,0.75,1024
26,2,0.0,402,0.029629500000737607,"[7, 1, 0, 3, 3, 6, 4, 7, 4, 0, 3, 0, 7, 1, 7, 1, 2, 5, 1, 6]",200,0.75,1024
27,4,0.0,402,0.029629500000737607,"[7, 1, 0, 3, 3, 6, 4, 7, 4, 0, 3, 0, 7, 1, 7, 1, 2, 5, 1, 6]",200,0.75,1024
28,8,0.0,402,0.029629500000737607,"[7, 1, 0, 3, 3, 6, 4, 7, 4, 0, 3, 0, 7, 1, 7, 1, 2, 5, 1, 6]",200,0.75,1024
29,16,0.0,402,0.029629500000737607,"[7, 1, 0, 3, 3, 6, 4, 7, 4, 0, 3, 0, 7, 1, 7, 1, 2, 5, 1, 6]",200,0.75,1024
30,32,0.0,402,0.029629500000737607,"[7, 1, 0, 3, 3, 6, 4, 7, 4, 0, 3, 0, 7, 1, 7, 1, 2, 5, 1, 6]",200,0.75,1024
31,64,0.0,402,0.029629500000737607,"[7, 1, 0, 3, 3, 6, 4, 7, 4, 0, 3, 0, 7, 1, 7, 1, 2, 5, 1, 6]",200,0.75,1024
32,128,0.0,402,0.029629500000737607,"[7, 1, 0, 3, 3, 6, 4, 7, 4, 0, 3, 0, 7, 1, 7, 1, 2, 5, 1, 6]",200,0.75,1024
33,256,0.0,402,0.029629500000737607,"[7, 1, 0, 3, 3, 6, 4, 7, 4, 0, 3, 0, 7, 1, 7, 1, 2, 5, 1, 6]",200,0.75,1024
34,512,0.0,402,0.029629500000737607,"[7, 1, 0, 3, 3, 6, 4, 7, 4, 0, 3, 0, 7, 1, 7, 1, 2, 5, 1, 6]",200,0.75,1024
35,1024,0.0,402,0.029629500000737607,"[7, 1, 0, 3, 3, 6, 4, 7, 4, 0, 3, 0, 7, 1, 7, 1, 2, 5, 1, 6]",200,0.75,1024
36,0,5.0,400,0.017027700028847903,"[1, 2, 2, 1, 0, 3, 7, 3, 3, 0, 7, 4, 0, 2, 2, 4, 3, 4, 3, 7]",400,0.25,1024
