,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,760.0,200,0.005848200002219528,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4]",200,0.25,1024
1,1,766.0,402,0.019085300009464845,"[4, 3, 4, 2, 4, 4, 2, 3, 0, 2, 3, 3, 1, 4, 1, 2, 2, 0, 0, 3, 4, 1, 4, 0, 0, 4, 4, 0, 4, 2, 4, 3, 4, 2, 3, 3, 4, 0, 1, 2, 2, 4, 3, 4, 2, 3, 1, 3, 0, 3, 4, 4, 3, 4, 3, 4, 3, 0, 4, 2]",200,0.25,1024
2,2,769.0,604,0.031008899997686967,"[4, 1, 2, 4, 3, 2, 2, 2, 3, 4, 4, 4, 3, 3, 4, 0, 3, 3, 3, 4, 3, 3, 4, 2, 2, 2, 3, 2, 2, 1, 2, 2, 2, 1, 2, 2, 3, 3, 0, 3, 2, 4, 4, 0, 3, 4, 1, 3, 1, 2, 3, 2, 4, 4, 3, 0, 3, 2, 4, 1]",200,0.25,1024
3,4,792.0,1007,0.05404139999882318,"[0, 4, 1, 4, 1, 4, 0, 0, 0, 1, 4, 1, 4, 2, 1, 3, 3, 4, 4, 2, 2, 2, 2, 3, 4, 3, 3, 0, 3, 4, 4, 1, 3, 3, 4, 4, 3, 2, 4, 4, 3, 3, 2, 4, 0, 0, 4, 3, 4, 2, 4, 0, 4, 4, 3, 4, 4, 3, 4, 3]",200,0.25,1024
4,8,884.0,1814,0.10500880001927726,"[4, 1, 4, 2, 4, 2, 4, 3, 0, 2, 3, 4, 4, 2, 4, 2, 2, 1, 4, 3, 4, 1, 4, 0, 4, 4, 4, 1, 3, 4, 4, 1, 4, 0, 3, 4, 4, 4, 2, 4, 3, 2, 1, 4, 0, 3, 2, 4, 0, 3, 4, 4, 4, 4, 3, 2, 2, 4, 4, 2]",200,0.25,1024
5,16,950.0,3425,0.20425569999497384,"[4, 4, 4, 4, 1, 4, 0, 0, 4, 4, 1, 3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 3, 4, 1, 3, 3, 4, 4, 0, 3, 4, 4, 4, 0, 2, 1, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 1, 4, 0, 2, 4, 2, 4, 4, 3, 1, 4, 3, 1, 1]",200,0.25,1024
6,32,1005.0,6649,0.3885692000039853,"[4, 4, 3, 4, 4, 4, 0, 3, 4, 4, 3, 3, 4, 4, 4, 3, 2, 4, 4, 1, 4, 1, 4, 4, 4, 4, 4, 2, 0, 3, 4, 4, 2, 0, 2, 0, 3, 3, 1, 4, 4, 4, 3, 4, 2, 4, 4, 4, 0, 4, 4, 1, 4, 4, 3, 4, 4, 4, 4, 1]",200,0.25,1024
7,64,1065.0,13096,0.7638073000125587,"[4, 4, 4, 4, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 3, 1, 4, 4, 1, 3, 3, 4, 4, 4, 4, 4, 3, 0, 4, 4, 4, 4, 0, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 3, 1, 4, 0, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 1]",200,0.25,1024
8,128,1073.0,25966,1.4924469999969006,"[4, 4, 4, 4, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 1, 3, 3, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 0, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 1, 4, 2, 4, 2, 3, 4, 4, 4, 4, 4, 4, 4, 1]",200,0.25,1024
9,256,1073.0,51694,2.944760900019901,"[4, 4, 4, 4, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 1, 3, 3, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 0, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 1, 4, 2, 4, 2, 3, 4, 4, 4, 4, 4, 4, 4, 1]",200,0.25,1024
10,512,1075.0,103152,5.865577200020198,"[4, 4, 4, 3, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 0, 4, 1, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 0, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 0, 4, 2, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 1]",200,0.25,1024
11,1024,1076.0,206065,11.81517280000844,"[4, 4, 4, 3, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4, 2, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 0, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 1]",200,0.25,1024
12,0,760.0,200,0.004430400003911927,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4]",200,0.5,1024
