,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,46.0,200,0.31548109999857843,"[1, 42, 50, 49, 56, 43, 47, 43, 27, 32, 23, 36, 8, 10, 10, 12, 11, 20, 43, 47, 50, 22, 38, 55, 34, 14, 6, 42, 2, 47, 4, 30, 45, 52, 23, 52, 20, 20, 45, 59, 5, 49, 23, 36, 11, 35, 29, 39, 16, 34, 18, 15, 47, 32, 27, 20, 58, 17, 10, 46]",200,0.25,1024
1,1,44.0,402,0.6474082999920938,"[0, 5, 15, 2, 50, 14, 47, 39, 29, 56, 20, 30, 38, 0, 19, 22, 5, 1, 25, 2, 55, 9, 8, 27, 46, 11, 45, 55, 24, 58, 54, 33, 8, 21, 54, 23, 10, 14, 31, 8, 30, 7, 17, 4, 59, 53, 10, 3, 12, 29, 59, 49, 45, 44, 21, 6, 18, 3, 16, 16]",200,0.25,1024
2,2,44.0,603,0.9932535999978427,"[0, 5, 15, 2, 50, 14, 47, 39, 29, 56, 20, 30, 38, 0, 19, 22, 5, 1, 25, 2, 55, 9, 8, 27, 46, 11, 45, 55, 24, 58, 54, 33, 8, 21, 54, 23, 10, 14, 31, 8, 30, 7, 17, 4, 59, 53, 10, 3, 12, 29, 59, 49, 45, 44, 21, 6, 18, 3, 16, 16]",200,0.25,1024
3,4,43.0,1006,1.5994020999933127,"[28, 23, 40, 3, 35, 39, 32, 24, 24, 10, 51, 16, 28, 38, 15, 57, 30, 57, 5, 1, 34, 43, 13, 39, 59, 12, 33, 59, 9, 8, 12, 15, 38, 38, 54, 8, 55, 2, 12, 9, 36, 49, 25, 11, 21, 55, 48, 40, 44, 39, 14, 6, 40, 0, 33, 3, 53, 50, 38, 47]",200,0.25,1024
4,8,40.0,1812,3.3113719999964815,"[32, 28, 57, 33, 56, 18, 50, 3, 29, 14, 20, 26, 42, 54, 8, 40, 50, 48, 18, 52, 21, 29, 6, 46, 6, 15, 9, 40, 16, 22, 38, 55, 56, 20, 5, 32, 27, 21, 49, 56, 7, 58, 10, 47, 36, 31, 15, 53, 31, 17, 59, 0, 54, 6, 4, 19, 33, 48, 3, 21]",200,0.25,1024
5,16,37.0,3421,6.31267869999283,"[45, 35, 12, 42, 36, 26, 47, 36, 16, 14, 56, 48, 7, 12, 2, 57, 30, 1, 39, 16, 0, 43, 6, 1, 37, 25, 28, 47, 20, 20, 37, 2, 38, 36, 2, 8, 32, 55, 25, 57, 9, 34, 49, 5, 3, 18, 49, 50, 45, 40, 40, 27, 9, 13, 29, 59, 54, 27, 23, 3]",200,0.25,1024
6,32,33.0,6640,12.044404000000213,"[18, 23, 12, 42, 35, 28, 47, 51, 54, 17, 51, 37, 42, 40, 53, 57, 2, 1, 25, 52, 0, 20, 6, 58, 31, 20, 49, 38, 26, 22, 54, 33, 8, 25, 46, 8, 27, 14, 32, 54, 36, 56, 41, 5, 3, 1, 48, 50, 9, 17, 59, 51, 30, 34, 44, 19, 33, 48, 43, 29]",200,0.25,1024
7,64,14.0,13084,23.472288999997545,"[45, 28, 57, 2, 56, 16, 50, 41, 54, 10, 20, 26, 42, 29, 8, 40, 2, 48, 58, 52, 0, 24, 6, 46, 59, 15, 9, 47, 16, 22, 38, 55, 41, 28, 5, 32, 49, 21, 25, 37, 7, 58, 15, 13, 51, 1, 31, 53, 44, 17, 59, 27, 30, 35, 4, 19, 33, 36, 23, 11]",200,0.25,1024
8,128,3.0,25958,45.9847344999871,"[11, 13, 57, 22, 56, 43, 50, 36, 54, 10, 20, 26, 42, 29, 8, 40, 2, 19, 58, 52, 0, 24, 6, 46, 59, 15, 9, 45, 16, 3, 38, 55, 41, 28, 5, 32, 49, 12, 25, 37, 7, 34, 15, 47, 51, 1, 31, 53, 44, 17, 14, 27, 30, 35, 4, 44, 33, 48, 23, 21]",200,0.25,1024
9,256,2.0,51687,92.7356820999994,"[11, 13, 57, 22, 56, 43, 50, 36, 54, 10, 20, 26, 42, 29, 8, 40, 2, 19, 58, 52, 0, 24, 6, 46, 59, 15, 9, 45, 16, 3, 38, 55, 41, 28, 5, 32, 49, 12, 25, 18, 7, 34, 56, 47, 51, 1, 31, 53, 44, 17, 14, 27, 30, 35, 4, 44, 33, 48, 23, 21]",200,0.25,1024
