,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.000381799996830523,5.0,0.0,False,200,0.25,1024
1,1,0.05359889999090228,9.0,2.0,False,200,0.25,1024
2,0,0.000381799996830523,5.0,0.0,False,200,0.5,1024
3,1,0.05359889999090228,8.0,2.0,False,200,0.5,1024
4,2,0.00016400001186411828,9.0,4.0,False,200,0.5,1024
5,0,0.000381799996830523,5.0,0.0,False,200,0.75,1024
6,1,0.05359889999090228,8.0,2.0,False,200,0.75,1024
7,2,0.00016400001186411828,8.0,3.0,False,200,0.75,1024
8,3,0.05198440000822302,9.0,5.0,False,200,0.75,1024
9,0,0.000381799996830523,5.0,0.0,False,400,0.25,1024
10,1,0.05359889999090228,9.0,2.0,False,400,0.25,1024
11,0,0.000381799996830523,5.0,0.0,False,400,0.5,1024
12,1,0.05359889999090228,9.0,2.0,False,400,0.5,1024
13,0,0.000381799996830523,5.0,0.0,False,400,0.75,1024
14,1,0.05359889999090228,9.0,2.0,False,400,0.75,1024
15,0,0.000381799996830523,5.0,0.0,False,600,0.25,1024
16,1,0.05359889999090228,9.0,2.0,False,600,0.25,1024
17,0,0.000381799996830523,5.0,0.0,False,600,0.5,1024
18,1,0.05359889999090228,9.0,2.0,False,600,0.5,1024
19,0,0.000381799996830523,5.0,0.0,False,600,0.75,1024
20,1,0.05359889999090228,9.0,2.0,False,600,0.75,1024
