,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.017325199965853244,10.0,200.0,False,200,0.25,1024
1,1,1.1373086999519728,2.0,402.0,False,200,0.25,1024
2,2,2.3654975999961607,1.0,604.0,False,200,0.25,1024
3,3,3.5037455999990925,1.0,805.0,False,200,0.25,1024
4,4,4.669162199948914,0.0,1007.0,False,200,0.25,1024
5,0,0.017325199965853244,10.0,200.0,False,200,0.5,1024
6,1,1.1373086999519728,2.0,402.0,False,200,0.5,1024
7,2,2.3654975999961607,2.0,603.0,False,200,0.5,1024
8,3,3.5037455999990925,2.0,804.0,False,200,0.5,1024
9,4,4.669162199948914,0.0,1006.0,False,200,0.5,1024
10,0,0.017325199965853244,10.0,200.0,False,200,0.75,1024
11,1,1.1373086999519728,3.0,402.0,False,200,0.75,1024
12,2,2.3654975999961607,3.0,603.0,False,200,0.75,1024
13,3,3.5037455999990925,1.0,805.0,False,200,0.75,1024
14,4,4.669162199948914,1.0,1006.0,False,200,0.75,1024
15,5,0.017303899978287518,1.0,1207.0,False,200,0.75,1024
16,6,1.1017498999717645,1.0,1408.0,False,200,0.75,1024
17,7,2.2653732000035234,1.0,1609.0,False,200,0.75,1024
18,8,3.4329602999496274,1.0,1810.0,False,200,0.75,1024
19,9,4.623521299974527,1.0,2011.0,False,200,0.75,1024
20,10,0.015264800051227212,1.0,2212.0,False,200,0.75,1024
21,11,1.115976800036151,1.0,2413.0,False,200,0.75,1024
22,12,2.277242300042417,1.0,2614.0,False,200,0.75,1024
23,13,3.4745700000203215,1.0,2815.0,False,200,0.75,1024
24,14,4.686326700029895,1.0,3016.0,False,200,0.75,1024
25,15,5.857012899999972,1.0,3217.0,False,200,0.75,1024
26,16,7.0396614000201225,1.0,3418.0,False,200,0.75,1024
27,17,8.264289300015662,0.0,3620.0,False,200,0.75,1024
28,0,0.017325199965853244,10.0,400.0,False,400,0.25,1024
29,1,1.1373086999519728,2.0,802.0,False,400,0.25,1024
30,2,2.3654975999961607,1.0,1204.0,False,400,0.25,1024
31,3,3.5037455999990925,1.0,1605.0,False,400,0.25,1024
32,4,4.669162199948914,1.0,2006.0,False,400,0.25,1024
33,5,0.017303899978287518,1.0,2407.0,False,400,0.25,1024
34,6,1.1017498999717645,1.0,2808.0,False,400,0.25,1024
35,7,2.2653732000035234,0.0,3210.0,False,400,0.25,1024
36,0,0.017325199965853244,10.0,400.0,False,400,0.5,1024
37,1,1.1373086999519728,1.0,802.0,False,400,0.5,1024
38,2,2.3654975999961607,1.0,1203.0,False,400,0.5,1024
39,3,3.5037455999990925,1.0,1604.0,False,400,0.5,1024
40,4,4.669162199948914,1.0,2005.0,False,400,0.5,1024
41,5,0.017303899978287518,1.0,2406.0,False,400,0.5,1024
42,6,1.1017498999717645,1.0,2807.0,False,400,0.5,1024
43,7,2.2653732000035234,1.0,3208.0,False,400,0.5,1024
44,8,3.4329602999496274,1.0,3609.0,False,400,0.5,1024
45,9,4.623521299974527,1.0,4010.0,False,400,0.5,1024
46,10,0.015264800051227212,1.0,4411.0,False,400,0.5,1024
47,11,1.115976800036151,1.0,4812.0,False,400,0.5,1024
48,12,2.277242300042417,1.0,5213.0,False,400,0.5,1024
49,13,3.4745700000203215,0.0,5615.0,False,400,0.5,1024
50,0,0.017325199965853244,10.0,400.0,False,400,0.75,1024
51,1,1.1373086999519728,3.0,802.0,False,400,0.75,1024
52,2,2.3654975999961607,1.0,1204.0,False,400,0.75,1024
53,3,3.5037455999990925,1.0,1605.0,False,400,0.75,1024
54,4,4.669162199948914,1.0,2006.0,False,400,0.75,1024
55,5,0.017303899978287518,1.0,2407.0,False,400,0.75,1024
56,6,1.1017498999717645,1.0,2808.0,False,400,0.75,1024
57,7,2.2653732000035234,0.0,3210.0,False,400,0.75,1024
58,0,0.017325199965853244,10.0,600.0,False,600,0.25,1024
59,1,1.1373086999519728,1.0,1202.0,False,600,0.25,1024
60,2,2.3654975999961607,1.0,1803.0,False,600,0.25,1024
61,3,3.5037455999990925,1.0,2404.0,False,600,0.25,1024
62,4,4.669162199948914,1.0,3005.0,False,600,0.25,1024
63,5,0.017303899978287518,1.0,3606.0,False,600,0.25,1024
64,6,1.1017498999717645,1.0,4207.0,False,600,0.25,1024
65,7,2.2653732000035234,0.0,4809.0,False,600,0.25,1024
66,0,0.017325199965853244,10.0,600.0,False,600,0.5,1024
67,1,1.1373086999519728,2.0,1202.0,False,600,0.5,1024
68,2,2.3654975999961607,2.0,1803.0,False,600,0.5,1024
69,3,3.5037455999990925,2.0,2404.0,False,600,0.5,1024
70,4,4.669162199948914,2.0,3005.0,False,600,0.5,1024
