,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,10.0,200,0.017325199965853244,"[1, 10, 2, 1, 8, 11, 11, 11, 0, 7, 4, 8, 10, 10, 11, 4, 11, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 4, 11, 5, 1, 7, 4, 11, 3, 7, 0]",False,200,0.25,1024
1,1,2.0,402,1.1373086999519728,"[11.0, 0.0, 11.0, 2.0, 5.0, 0.0, 4.0, 3.0, 10.0, 8.0, 1.0, 7.0, 2.0, 11.0, 10.0, 4.0, 4.0, 2.0, 6.0, 2.0, 10.0, 6.0, 7.0, 4.0, 1.0, 9.0, 5.0, 1.0, 5.0, 11.0, 1.0, 6.0, 3.0, 8.0, 0.0, 1.0, 6.0, 7.0, 6.0, 0.0]",False,200,0.25,1024
2,2,1.0,604,2.3654975999961607,"[3.0, 8.0, 5.0, 6.0, 11.0, 5.0, 10.0, 7.0, 10.0, 3.0, 9.0, 0.0, 4.0, 8.0, 10.0, 1.0, 8.0, 9.0, 4.0, 8.0, 2.0, 4.0, 11.0, 4.0, 0.0, 7.0, 1.0, 8.0, 6.0, 6.0, 2.0, 3.0, 8.0, 0.0, 11.0, 7.0, 6.0, 11.0, 4.0, 6.0]",False,200,0.25,1024
3,4,0.0,1007,4.669162199948914,"[1.0, 2.0, 0.0, 8.0, 0.0, 6.0, 10.0, 11.0, 9.0, 3.0, 3.0, 5.0, 8.0, 1.0, 9.0, 3.0, 10.0, 3.0, 10.0, 10.0, 3.0, 8.0, 0.0, 4.0, 3.0, 9.0, 8.0, 11.0, 3.0, 6.0, 2.0, 4.0, 5.0, 3.0, 5.0, 7.0, 7.0, 1.0, 7.0, 8.0]",False,200,0.25,1024
4,8,0.0,1007,4.669162199948914,"[1.0, 2.0, 0.0, 8.0, 0.0, 6.0, 10.0, 11.0, 9.0, 3.0, 3.0, 5.0, 8.0, 1.0, 9.0, 3.0, 10.0, 3.0, 10.0, 10.0, 3.0, 8.0, 0.0, 4.0, 3.0, 9.0, 8.0, 11.0, 3.0, 6.0, 2.0, 4.0, 5.0, 3.0, 5.0, 7.0, 7.0, 1.0, 7.0, 8.0]",False,200,0.25,1024
5,16,0.0,1007,4.669162199948914,"[1.0, 2.0, 0.0, 8.0, 0.0, 6.0, 10.0, 11.0, 9.0, 3.0, 3.0, 5.0, 8.0, 1.0, 9.0, 3.0, 10.0, 3.0, 10.0, 10.0, 3.0, 8.0, 0.0, 4.0, 3.0, 9.0, 8.0, 11.0, 3.0, 6.0, 2.0, 4.0, 5.0, 3.0, 5.0, 7.0, 7.0, 1.0, 7.0, 8.0]",False,200,0.25,1024
6,32,0.0,1007,4.669162199948914,"[1.0, 2.0, 0.0, 8.0, 0.0, 6.0, 10.0, 11.0, 9.0, 3.0, 3.0, 5.0, 8.0, 1.0, 9.0, 3.0, 10.0, 3.0, 10.0, 10.0, 3.0, 8.0, 0.0, 4.0, 3.0, 9.0, 8.0, 11.0, 3.0, 6.0, 2.0, 4.0, 5.0, 3.0, 5.0, 7.0, 7.0, 1.0, 7.0, 8.0]",False,200,0.25,1024
7,64,0.0,1007,4.669162199948914,"[1.0, 2.0, 0.0, 8.0, 0.0, 6.0, 10.0, 11.0, 9.0, 3.0, 3.0, 5.0, 8.0, 1.0, 9.0, 3.0, 10.0, 3.0, 10.0, 10.0, 3.0, 8.0, 0.0, 4.0, 3.0, 9.0, 8.0, 11.0, 3.0, 6.0, 2.0, 4.0, 5.0, 3.0, 5.0, 7.0, 7.0, 1.0, 7.0, 8.0]",False,200,0.25,1024
8,128,0.0,1007,4.669162199948914,"[1.0, 2.0, 0.0, 8.0, 0.0, 6.0, 10.0, 11.0, 9.0, 3.0, 3.0, 5.0, 8.0, 1.0, 9.0, 3.0, 10.0, 3.0, 10.0, 10.0, 3.0, 8.0, 0.0, 4.0, 3.0, 9.0, 8.0, 11.0, 3.0, 6.0, 2.0, 4.0, 5.0, 3.0, 5.0, 7.0, 7.0, 1.0, 7.0, 8.0]",False,200,0.25,1024
9,256,0.0,1007,4.669162199948914,"[1.0, 2.0, 0.0, 8.0, 0.0, 6.0, 10.0, 11.0, 9.0, 3.0, 3.0, 5.0, 8.0, 1.0, 9.0, 3.0, 10.0, 3.0, 10.0, 10.0, 3.0, 8.0, 0.0, 4.0, 3.0, 9.0, 8.0, 11.0, 3.0, 6.0, 2.0, 4.0, 5.0, 3.0, 5.0, 7.0, 7.0, 1.0, 7.0, 8.0]",False,200,0.25,1024
10,512,0.0,1007,4.669162199948914,"[1.0, 2.0, 0.0, 8.0, 0.0, 6.0, 10.0, 11.0, 9.0, 3.0, 3.0, 5.0, 8.0, 1.0, 9.0, 3.0, 10.0, 3.0, 10.0, 10.0, 3.0, 8.0, 0.0, 4.0, 3.0, 9.0, 8.0, 11.0, 3.0, 6.0, 2.0, 4.0, 5.0, 3.0, 5.0, 7.0, 7.0, 1.0, 7.0, 8.0]",False,200,0.25,1024
11,1024,0.0,1007,4.669162199948914,"[1.0, 2.0, 0.0, 8.0, 0.0, 6.0, 10.0, 11.0, 9.0, 3.0, 3.0, 5.0, 8.0, 1.0, 9.0, 3.0, 10.0, 3.0, 10.0, 10.0, 3.0, 8.0, 0.0, 4.0, 3.0, 9.0, 8.0, 11.0, 3.0, 6.0, 2.0, 4.0, 5.0, 3.0, 5.0, 7.0, 7.0, 1.0, 7.0, 8.0]",False,200,0.25,1024
12,0,10.0,200,0.017303899978287518,"[1, 10, 2, 1, 8, 11, 11, 11, 0, 7, 4, 8, 10, 10, 11, 4, 11, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 4, 11, 5, 1, 7, 4, 11, 3, 7, 0]",False,200,0.5,1024
13,1,2.0,402,1.1017498999717645,"[1.0, 3.0, 2.0, 5.0, 7.0, 4.0, 8.0, 0.0, 11.0, 7.0, 2.0, 11.0, 11.0, 11.0, 1.0, 2.0, 5.0, 4.0, 9.0, 4.0, 1.0, 2.0, 7.0, 9.0, 11.0, 10.0, 4.0, 4.0, 9.0, 3.0, 2.0, 8.0, 2.0, 10.0, 11.0, 7.0, 10.0, 1.0, 11.0, 3.0]",False,200,0.5,1024
14,2,2.0,603,2.2653732000035234,"[1.0, 3.0, 2.0, 5.0, 7.0, 4.0, 8.0, 0.0, 11.0, 7.0, 2.0, 11.0, 11.0, 11.0, 1.0, 2.0, 5.0, 4.0, 9.0, 4.0, 1.0, 2.0, 7.0, 9.0, 11.0, 10.0, 4.0, 4.0, 9.0, 3.0, 2.0, 8.0, 2.0, 10.0, 11.0, 7.0, 10.0, 1.0, 11.0, 3.0]",False,200,0.5,1024
15,4,0.0,1006,4.623521299974527,"[5.0, 10.0, 0.0, 9.0, 0.0, 2.0, 2.0, 8.0, 9.0, 6.0, 0.0, 8.0, 7.0, 1.0, 11.0, 9.0, 6.0, 2.0, 5.0, 10.0, 8.0, 6.0, 0.0, 4.0, 9.0, 3.0, 10.0, 7.0, 1.0, 9.0, 7.0, 3.0, 5.0, 4.0, 8.0, 11.0, 5.0, 7.0, 4.0, 2.0]",False,200,0.5,1024
