,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,433.0,200,0.005607600003713742,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1]",False,200,0.25,1024
1,1,561.0,402,0.6924915999989025,"[4.0, 4.0, 4.0, 1.0, 0.0, 2.0, 4.0, 4.0, 3.0, 0.0, 3.0, 0.0, 4.0, 4.0, 4.0, 1.0, 3.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0, 3.0, 4.0, 3.0, 0.0, 4.0, 2.0, 0.0, 4.0, 4.0, 4.0, 4.0, 2.0, 3.0, 2.0]",False,200,0.25,1024
2,2,585.0,604,1.4471631000051275,"[2.0, 2.0, 4.0, 4.0, 2.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0, 0.0, 4.0, 1.0, 0.0, 4.0, 3.0, 3.0, 4.0, 4.0, 2.0, 4.0, 2.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 3.0, 0.0, 3.0, 4.0, 3.0]",False,200,0.25,1024
3,4,615.0,1008,2.9447153999935836,"[4.0, 3.0, 4.0, 1.0, 0.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 3.0, 4.0, 1.0, 4.0, 3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 4.0, 4.0, 2.0, 1.0, 4.0, 3.0, 0.0, 2.0, 1.0, 3.0]",False,200,0.25,1024
4,8,651.0,1816,5.916197700003977,"[4.0, 3.0, 4.0, 1.0, 0.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 2.0, 4.0, 4.0, 3.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0, 4.0, 1.0, 3.0, 0.0, 4.0, 4.0, 3.0, 1.0, 4.0]",False,200,0.25,1024
5,16,674.0,3431,11.619917100004386,"[4.0, 4.0, 4.0, 1.0, 0.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 3.0, 0.0, 4.0, 0.0, 3.0, 4.0, 4.0]",False,200,0.25,1024
6,32,675.0,6648,22.89261379999516,"[4.0, 4.0, 4.0, 1.0, 0.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 0.0, 4.0, 0.0, 3.0, 3.0, 4.0]",False,200,0.25,1024
7,64,675.0,13080,45.482926299999235,"[4.0, 4.0, 4.0, 1.0, 0.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 0.0, 4.0, 0.0, 3.0, 3.0, 4.0]",False,200,0.25,1024
8,128,675.0,25944,90.84475030000613,"[4.0, 4.0, 4.0, 1.0, 0.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 0.0, 4.0, 0.0, 3.0, 3.0, 4.0]",False,200,0.25,1024
9,256,675.0,51672,181.94142089999514,"[4.0, 4.0, 4.0, 1.0, 0.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 0.0, 4.0, 0.0, 3.0, 3.0, 4.0]",False,200,0.25,1024
10,512,675.0,103128,363.88545879999583,"[4.0, 4.0, 4.0, 1.0, 0.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 0.0, 4.0, 0.0, 3.0, 3.0, 4.0]",False,200,0.25,1024
11,1024,675.0,104535,368.8861296999967,"[4.0, 4.0, 4.0, 1.0, 0.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 0.0, 4.0, 0.0, 3.0, 3.0, 4.0]",False,200,0.25,1024
12,0,433.0,200,0.0053161000105319545,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1]",False,200,0.5,1024
13,1,513.0,402,0.7208902999991551,"[4.0, 2.0, 2.0, 0.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 1.0, 4.0, 3.0, 0.0, 0.0, 0.0, 4.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 3.0, 4.0, 3.0, 2.0, 2.0, 4.0, 1.0, 4.0, 4.0, 3.0, 3.0, 3.0, 1.0, 3.0]",False,200,0.5,1024
14,2,536.0,604,1.495883399999002,"[4.0, 0.0, 4.0, 3.0, 0.0, 4.0, 2.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 3.0, 3.0, 1.0, 3.0, 0.0, 1.0, 3.0, 0.0, 4.0, 4.0, 1.0, 3.0, 1.0, 3.0, 3.0, 4.0, 2.0, 1.0, 2.0, 3.0, 4.0, 3.0, 2.0, 4.0]",False,200,0.5,1024
