,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,42.0,200,0.14475939999101683,"[1, 27, 32, 23, 36, 8, 10, 10, 12, 11, 20, 22, 38, 34, 14, 6, 2, 4, 30, 23, 20, 20, 5, 23, 36, 11, 35, 29, 39, 16, 34, 18, 15, 32, 27, 20, 17, 10, 28, 20]",False,200,0.25,1024
1,1,25.0,402,1.0912049999897135,"[6.0, 24.0, 32.0, 2.0, 7.0, 13.0, 37.0, 9.0, 13.0, 10.0, 38.0, 27.0, 22.0, 39.0, 32.0, 7.0, 14.0, 24.0, 6.0, 8.0, 31.0, 10.0, 39.0, 34.0, 3.0, 28.0, 34.0, 4.0, 1.0, 7.0, 16.0, 33.0, 2.0, 17.0, 25.0, 31.0, 23.0, 2.0, 2.0, 36.0]",False,200,0.25,1024
2,2,23.0,604,2.075563799997326,"[1.0, 28.0, 4.0, 19.0, 24.0, 27.0, 12.0, 3.0, 5.0, 39.0, 10.0, 37.0, 31.0, 25.0, 0.0, 2.0, 19.0, 30.0, 33.0, 26.0, 3.0, 29.0, 22.0, 16.0, 16.0, 17.0, 21.0, 14.0, 39.0, 20.0, 0.0, 37.0, 33.0, 8.0, 6.0, 24.0, 32.0, 16.0, 16.0, 30.0]",False,200,0.25,1024
3,4,20.0,1008,4.023837899992941,"[19.0, 0.0, 0.0, 8.0, 27.0, 25.0, 12.0, 32.0, 36.0, 18.0, 17.0, 6.0, 35.0, 39.0, 10.0, 29.0, 14.0, 18.0, 3.0, 34.0, 0.0, 37.0, 1.0, 5.0, 35.0, 13.0, 23.0, 16.0, 38.0, 5.0, 24.0, 31.0, 18.0, 1.0, 12.0, 26.0, 31.0, 31.0, 4.0, 28.0]",False,200,0.25,1024
4,8,20.0,1812,7.911996499999077,"[19.0, 0.0, 0.0, 8.0, 27.0, 25.0, 12.0, 32.0, 36.0, 18.0, 17.0, 6.0, 35.0, 39.0, 10.0, 29.0, 14.0, 18.0, 3.0, 34.0, 0.0, 37.0, 1.0, 5.0, 35.0, 13.0, 23.0, 16.0, 38.0, 5.0, 24.0, 31.0, 18.0, 1.0, 12.0, 26.0, 31.0, 31.0, 4.0, 28.0]",False,200,0.25,1024
5,16,20.0,3420,15.48836719999963,"[19.0, 0.0, 0.0, 8.0, 27.0, 25.0, 12.0, 32.0, 36.0, 18.0, 17.0, 6.0, 35.0, 39.0, 10.0, 29.0, 14.0, 18.0, 3.0, 34.0, 0.0, 37.0, 1.0, 5.0, 35.0, 13.0, 23.0, 16.0, 38.0, 5.0, 24.0, 31.0, 18.0, 1.0, 12.0, 26.0, 31.0, 31.0, 4.0, 28.0]",False,200,0.25,1024
6,32,20.0,6636,30.537510999987717,"[19.0, 0.0, 0.0, 8.0, 27.0, 25.0, 12.0, 32.0, 36.0, 18.0, 17.0, 6.0, 35.0, 39.0, 10.0, 29.0, 14.0, 18.0, 3.0, 34.0, 0.0, 37.0, 1.0, 5.0, 35.0, 13.0, 23.0, 16.0, 38.0, 5.0, 24.0, 31.0, 18.0, 1.0, 12.0, 26.0, 31.0, 31.0, 4.0, 28.0]",False,200,0.25,1024
7,64,20.0,13068,59.86531809999724,"[19.0, 0.0, 0.0, 8.0, 27.0, 25.0, 12.0, 32.0, 36.0, 18.0, 17.0, 6.0, 35.0, 39.0, 10.0, 29.0, 14.0, 18.0, 3.0, 34.0, 0.0, 37.0, 1.0, 5.0, 35.0, 13.0, 23.0, 16.0, 38.0, 5.0, 24.0, 31.0, 18.0, 1.0, 12.0, 26.0, 31.0, 31.0, 4.0, 28.0]",False,200,0.25,1024
8,128,20.0,25932,118.00892819999717,"[19.0, 0.0, 0.0, 8.0, 27.0, 25.0, 12.0, 32.0, 36.0, 18.0, 17.0, 6.0, 35.0, 39.0, 10.0, 29.0, 14.0, 18.0, 3.0, 34.0, 0.0, 37.0, 1.0, 5.0, 35.0, 13.0, 23.0, 16.0, 38.0, 5.0, 24.0, 31.0, 18.0, 1.0, 12.0, 26.0, 31.0, 31.0, 4.0, 28.0]",False,200,0.25,1024
9,256,20.0,51660,233.00342519998958,"[19.0, 0.0, 0.0, 8.0, 27.0, 25.0, 12.0, 32.0, 36.0, 18.0, 17.0, 6.0, 35.0, 39.0, 10.0, 29.0, 14.0, 18.0, 3.0, 34.0, 0.0, 37.0, 1.0, 5.0, 35.0, 13.0, 23.0, 16.0, 38.0, 5.0, 24.0, 31.0, 18.0, 1.0, 12.0, 26.0, 31.0, 31.0, 4.0, 28.0]",False,200,0.25,1024
