,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.0002204999909736216,18.0,0.0,25,1024,0
1,1,0.0017992000211961567,16.0,2.0,25,1024,0
2,2,0.003113800019491464,16.0,3.0,25,1024,0
3,3,0.004136400006245822,16.0,4.0,25,1024,0
4,4,0.004328000009991229,16.0,5.0,25,1024,0
5,5,0.0057835999759845436,16.0,6.0,25,1024,0
6,6,0.00594259996432811,16.0,7.0,25,1024,0
7,7,0.006088099966291338,16.0,8.0,25,1024,0
8,8,0.006385200016666204,16.0,9.0,25,1024,0
9,9,0.008302600006572902,16.0,10.0,25,1024,0
10,10,0.008492099994327873,14.0,12.0,25,1024,0
11,11,0.008596699975896627,14.0,13.0,25,1024,0
12,12,0.008697999990545213,14.0,14.0,25,1024,0
13,13,0.008799000002909452,14.0,15.0,25,1024,0
14,14,0.008899200009182096,14.0,16.0,25,1024,0
15,15,0.009000200021546334,14.0,17.0,25,1024,0
16,16,0.009175000013783574,13.0,19.0,25,1024,0
17,17,0.010275200009346008,13.0,20.0,25,1024,0
18,18,0.010462099977303296,12.0,22.0,25,1024,0
19,19,0.010567300021648407,12.0,23.0,25,1024,0
20,20,0.010671500000171363,12.0,24.0,25,1024,0
21,21,0.010773300018627197,12.0,25.0,25,1024,0
22,22,0.01087639998877421,12.0,26.0,25,1024,0
23,23,0.010978400008752942,12.0,27.0,25,1024,0
24,24,0.011083099991083145,12.0,28.0,25,1024,0
25,25,0.011187099968083203,12.0,29.0,25,1024,0
26,26,0.011293100018519908,12.0,30.0,25,1024,0
27,27,0.01139649999095127,12.0,31.0,25,1024,0
28,28,0.011500599968712777,12.0,32.0,25,1024,0
29,29,0.011604300001636147,12.0,33.0,25,1024,0
30,30,0.011708799982443452,12.0,34.0,25,1024,0
31,31,0.01181280001765117,12.0,35.0,25,1024,0
32,32,0.011918200005311519,12.0,36.0,25,1024,0
33,33,0.013100699987262487,11.0,38.0,25,1024,0
34,34,0.013291899987962097,8.0,40.0,25,1024,0
35,35,0.013401500007603317,8.0,41.0,25,1024,0
36,36,0.013582699990365654,6.0,43.0,25,1024,0
37,37,0.013690699997823685,6.0,44.0,25,1024,0
38,38,0.013797899999190122,6.0,45.0,25,1024,0
39,39,0.013906000007409602,6.0,46.0,25,1024,0
40,40,0.014108499977737665,5.0,48.0,25,1024,0
41,41,0.014221599965821952,5.0,49.0,25,1024,0
42,42,0.014330599980894476,5.0,50.0,25,1024,0
43,43,0.014438599988352507,5.0,51.0,25,1024,0
44,44,0.014548100007232279,5.0,52.0,25,1024,0
45,45,0.014657699968665838,5.0,53.0,25,1024,0
46,46,0.014766699983738363,5.0,54.0,25,1024,0
47,47,0.014876000001095235,5.0,55.0,25,1024,0
48,48,0.01499100000364706,5.0,56.0,25,1024,0
49,49,0.015104699996300042,5.0,57.0,25,1024,0
50,50,0.015215299965348095,5.0,58.0,25,1024,0
51,51,0.01532579999184236,5.0,59.0,25,1024,0
52,52,0.015436600020620972,5.0,60.0,25,1024,0
53,53,0.015549200004898012,5.0,61.0,25,1024,0
54,54,0.01566029997775331,5.0,62.0,25,1024,0
55,55,0.01577150000957772,5.0,63.0,25,1024,0
56,56,0.01588289998471737,5.0,64.0,25,1024,0
57,57,0.015994700021110475,5.0,65.0,25,1024,0
58,58,0.016108500014524907,5.0,66.0,25,1024,0
59,59,0.016221300000324845,5.0,67.0,25,1024,0
60,60,0.016333799983840436,5.0,68.0,25,1024,0
61,61,0.016446599969640374,5.0,69.0,25,1024,0
62,62,0.01655990001745522,5.0,70.0,25,1024,0
63,63,0.016747199988458306,3.0,72.0,25,1024,0
64,64,0.01686189998872578,3.0,73.0,25,1024,0
65,65,0.0189511000062339,3.0,74.0,25,1024,0
66,66,0.019080400001257658,3.0,75.0,25,1024,0
67,67,0.01920009998138994,3.0,76.0,25,1024,0
68,68,0.019316799996886402,3.0,77.0,25,1024,0
69,69,0.01943260000552982,3.0,78.0,25,1024,0
70,70,0.019548800017219037,3.0,79.0,25,1024,0
71,71,0.019664499966893345,3.0,80.0,25,1024,0
72,72,0.01978069997858256,3.0,81.0,25,1024,0
73,73,0.01989789999788627,3.0,82.0,25,1024,0
74,74,0.020091600017622113,2.0,84.0,25,1024,0
75,75,0.020215299970004708,2.0,85.0,25,1024,0
76,76,0.020334400003775954,2.0,86.0,25,1024,0
77,77,0.020454599987715483,2.0,87.0,25,1024,0
78,78,0.020573000016156584,2.0,88.0,25,1024,0
79,79,0.020691599987912923,2.0,89.0,25,1024,0
80,80,0.020810000016354024,2.0,90.0,25,1024,0
81,81,0.021007100003771484,2.0,91.0,25,1024,0
82,82,0.02120469999499619,2.0,92.0,25,1024,0
83,83,0.021377699973527342,2.0,93.0,25,1024,0
84,84,0.021499099966604263,2.0,94.0,25,1024,0
85,85,0.021620100014843047,2.0,95.0,25,1024,0
86,86,0.02173979999497533,2.0,96.0,25,1024,0
87,87,0.021917000005487353,2.0,97.0,25,1024,0
88,88,0.02208029996836558,2.0,98.0,25,1024,0
89,89,0.022486999980174005,2.0,99.0,25,1024,0
90,90,0.02298569999402389,2.0,100.0,25,1024,0
91,91,0.023566899995785207,2.0,101.0,25,1024,0
92,92,0.023980800004210323,2.0,102.0,25,1024,0
93,93,0.024227700021583587,2.0,103.0,25,1024,0
94,94,0.024458799976855516,2.0,104.0,25,1024,0
95,95,0.024786699970718473,2.0,105.0,25,1024,0
96,96,0.025239499984309077,1.0,107.0,25,1024,0
97,97,0.02545229997485876,1.0,108.0,25,1024,0
98,98,0.025633800018113106,1.0,109.0,25,1024,0
99,99,0.025851399987004697,1.0,110.0,25,1024,0
100,100,0.026041499979328364,1.0,111.0,25,1024,0
101,101,0.026213300006929785,1.0,112.0,25,1024,0
102,102,0.0264152999734506,1.0,113.0,25,1024,0
103,103,0.026752499979920685,1.0,114.0,25,1024,0
104,104,0.027281699993181974,1.0,115.0,25,1024,0
105,105,0.027985099994111806,1.0,116.0,25,1024,0
106,106,0.028792699973564595,0.0,118.0,25,1024,0
107,0,0.0002204999909736216,18.0,0.0,75,1024,0
108,1,0.0017992000211961567,16.0,2.0,75,1024,0
109,2,0.003113800019491464,16.0,3.0,75,1024,0
110,3,0.004136400006245822,16.0,4.0,75,1024,0
111,4,0.004328000009991229,16.0,5.0,75,1024,0
112,5,0.0057835999759845436,16.0,6.0,75,1024,0
113,6,0.00594259996432811,16.0,7.0,75,1024,0
114,7,0.006088099966291338,16.0,8.0,75,1024,0
115,8,0.006385200016666204,16.0,9.0,75,1024,0
116,9,0.008302600006572902,16.0,10.0,75,1024,0
117,10,0.008492099994327873,14.0,12.0,75,1024,0
118,11,0.008596699975896627,14.0,13.0,75,1024,0
119,12,0.008697999990545213,14.0,14.0,75,1024,0
120,13,0.008799000002909452,14.0,15.0,75,1024,0
121,14,0.008899200009182096,14.0,16.0,75,1024,0
122,15,0.009000200021546334,14.0,17.0,75,1024,0
123,16,0.009175000013783574,13.0,19.0,75,1024,0
124,17,0.010275200009346008,13.0,20.0,75,1024,0
125,18,0.010462099977303296,12.0,22.0,75,1024,0
126,19,0.010567300021648407,12.0,23.0,75,1024,0
127,20,0.010671500000171363,12.0,24.0,75,1024,0
128,21,0.010773300018627197,12.0,25.0,75,1024,0
129,22,0.01087639998877421,12.0,26.0,75,1024,0
130,23,0.010978400008752942,12.0,27.0,75,1024,0
131,24,0.011083099991083145,12.0,28.0,75,1024,0
132,25,0.011187099968083203,12.0,29.0,75,1024,0
133,26,0.011293100018519908,12.0,30.0,75,1024,0
134,27,0.01139649999095127,12.0,31.0,75,1024,0
135,28,0.011500599968712777,12.0,32.0,75,1024,0
136,29,0.011604300001636147,12.0,33.0,75,1024,0
137,30,0.011708799982443452,12.0,34.0,75,1024,0
138,31,0.01181280001765117,12.0,35.0,75,1024,0
139,32,0.011918200005311519,12.0,36.0,75,1024,0
140,33,0.013100699987262487,11.0,38.0,75,1024,0
141,34,0.013291899987962097,8.0,40.0,75,1024,0
142,35,0.013401500007603317,8.0,41.0,75,1024,0
143,36,0.013582699990365654,6.0,43.0,75,1024,0
144,37,0.013690699997823685,6.0,44.0,75,1024,0
145,38,0.013797899999190122,6.0,45.0,75,1024,0
146,39,0.013906000007409602,6.0,46.0,75,1024,0
147,40,0.014108499977737665,5.0,48.0,75,1024,0
148,41,0.014221599965821952,5.0,49.0,75,1024,0
149,42,0.014330599980894476,5.0,50.0,75,1024,0
150,43,0.014438599988352507,5.0,51.0,75,1024,0
151,44,0.014548100007232279,5.0,52.0,75,1024,0
152,45,0.014657699968665838,5.0,53.0,75,1024,0
153,46,0.014766699983738363,5.0,54.0,75,1024,0
154,47,0.014876000001095235,5.0,55.0,75,1024,0
155,48,0.01499100000364706,5.0,56.0,75,1024,0
156,49,0.015104699996300042,5.0,57.0,75,1024,0
157,50,0.015215299965348095,5.0,58.0,75,1024,0
158,51,0.01532579999184236,5.0,59.0,75,1024,0
159,52,0.015436600020620972,5.0,60.0,75,1024,0
160,53,0.015549200004898012,5.0,61.0,75,1024,0
161,54,0.01566029997775331,5.0,62.0,75,1024,0
162,55,0.01577150000957772,5.0,63.0,75,1024,0
163,56,0.01588289998471737,5.0,64.0,75,1024,0
164,57,0.015994700021110475,5.0,65.0,75,1024,0
165,58,0.016108500014524907,5.0,66.0,75,1024,0
166,59,0.016221300000324845,5.0,67.0,75,1024,0
167,60,0.016333799983840436,5.0,68.0,75,1024,0
168,61,0.016446599969640374,5.0,69.0,75,1024,0
169,62,0.01655990001745522,5.0,70.0,75,1024,0
170,63,0.016747199988458306,3.0,72.0,75,1024,0
171,64,0.01686189998872578,3.0,73.0,75,1024,0
172,65,0.0189511000062339,3.0,74.0,75,1024,0
173,66,0.019080400001257658,3.0,75.0,75,1024,0
174,67,0.01920009998138994,3.0,76.0,75,1024,0
175,68,0.019316799996886402,3.0,77.0,75,1024,0
176,69,0.01943260000552982,3.0,78.0,75,1024,0
177,70,0.019548800017219037,3.0,79.0,75,1024,0
178,71,0.019664499966893345,3.0,80.0,75,1024,0
179,72,0.01978069997858256,3.0,81.0,75,1024,0
180,73,0.01989789999788627,3.0,82.0,75,1024,0
181,74,0.020091600017622113,2.0,84.0,75,1024,0
182,75,0.020215299970004708,2.0,85.0,75,1024,0
183,76,0.020334400003775954,2.0,86.0,75,1024,0
184,77,0.020454599987715483,2.0,87.0,75,1024,0
185,78,0.020573000016156584,2.0,88.0,75,1024,0
186,79,0.020691599987912923,2.0,89.0,75,1024,0
187,80,0.020810000016354024,2.0,90.0,75,1024,0
188,81,0.021007100003771484,2.0,91.0,75,1024,0
189,82,0.02120469999499619,2.0,92.0,75,1024,0
190,83,0.021377699973527342,2.0,93.0,75,1024,0
191,84,0.021499099966604263,2.0,94.0,75,1024,0
192,85,0.021620100014843047,2.0,95.0,75,1024,0
193,86,0.02173979999497533,2.0,96.0,75,1024,0
194,87,0.021917000005487353,2.0,97.0,75,1024,0
195,88,0.02208029996836558,2.0,98.0,75,1024,0
196,89,0.022486999980174005,2.0,99.0,75,1024,0
197,90,0.02298569999402389,2.0,100.0,75,1024,0
198,91,0.023566899995785207,2.0,101.0,75,1024,0
199,92,0.023980800004210323,2.0,102.0,75,1024,0
200,93,0.024227700021583587,2.0,103.0,75,1024,0
201,94,0.024458799976855516,2.0,104.0,75,1024,0
202,95,0.024786699970718473,2.0,105.0,75,1024,0
203,96,0.025239499984309077,1.0,107.0,75,1024,0
204,97,0.02545229997485876,1.0,108.0,75,1024,0
