,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,18.0,0,0.0002204999909736216,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 4, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",25,1024,0
1,1,16.0,2,0.0017992000211961567,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",25,1024,0
2,2,16.0,3,0.003113800019491464,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",25,1024,0
3,4,16.0,5,0.004328000009991229,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",25,1024,0
4,8,16.0,9,0.006385200016666204,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 4, 4, 7, 4, 4, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",25,1024,0
5,16,13.0,19,0.009175000013783574,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 10, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",25,1024,0
6,32,12.0,36,0.011918200005311519,"[1, 10, 2, 1, 8, 0, 7, 4, 8, 10, 10, 4, 2, 6, 6, 7, 2, 6, 10, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 3, 4, 4, 5, 4, 7, 7, 4, 2, 1, 10, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",25,1024,0
7,64,3.0,73,0.01686189998872578,"[1, 10, 0, 1, 8, 0, 7, 4, 8, 10, 10, 0, 2, 6, 6, 7, 2, 6, 10, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 4, 10, 1, 3, 4, 4, 5, 6, 7, 7, 4, 4, 1, 9, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",25,1024,0
8,128,0.0,118,0.028792699973564595,"[1, 10, 0, 1, 8, 0, 7, 4, 8, 10, 10, 0, 2, 6, 6, 7, 2, 6, 1, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 2, 10, 1, 3, 4, 3, 5, 6, 7, 7, 4, 4, 1, 9, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",25,1024,0
9,256,0.0,118,0.028792699973564595,"[1, 10, 0, 1, 8, 0, 7, 4, 8, 10, 10, 0, 2, 6, 6, 7, 2, 6, 1, 2, 5, 4, 7, 4, 8, 3, 5, 1, 7, 4, 3, 7, 0, 2, 2, 0, 2, 10, 1, 3, 4, 3, 5, 6, 7, 7, 4, 4, 1, 9, 4, 1, 4, 2, 5, 2, 5, 8, 3, 10]",25,1024,0
