,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,102.0,0,0.0001444000081392005,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",25,1024,0
1,1,123.0,2,0.001324099997873418,"[1, 2, 2, 1, 0, 3, 3, 3, 3, 4]",25,1024,0
2,2,151.0,4,0.0030119000002741814,"[1, 2, 2, 1, 4, 3, 3, 3, 3, 4]",25,1024,0
3,4,156.0,7,0.0042421999969519675,"[1, 2, 3, 1, 4, 3, 3, 3, 3, 4]",25,1024,0
4,8,156.0,11,0.005229800008237362,"[1, 2, 3, 1, 4, 3, 3, 3, 3, 4]",25,1024,0
5,16,156.0,19,0.0063731999980518594,"[1, 2, 3, 1, 4, 3, 3, 3, 3, 4]",25,1024,0
6,32,156.0,35,0.007887100000516511,"[1, 2, 3, 1, 4, 3, 3, 3, 3, 4]",25,1024,0
7,64,161.0,68,0.01029410000774078,"[2, 2, 3, 1, 4, 3, 3, 3, 3, 4]",25,1024,0
8,128,161.0,132,0.015161000002990477,"[2, 2, 3, 1, 4, 3, 3, 3, 3, 4]",25,1024,0
9,256,161.0,260,0.03217610000865534,"[2, 2, 3, 1, 4, 3, 3, 3, 3, 4]",25,1024,0
10,512,161.0,516,0.07273010000062641,"[2, 2, 3, 1, 4, 3, 3, 3, 3, 4]",25,1024,0
11,1024,161.0,539,0.0791254000068875,"[2, 2, 3, 1, 4, 3, 3, 3, 3, 4]",25,1024,0
12,0,86.0,539,0.08076810000056867,"[1, 4, 0, 3, 1, 1, 2, 2, 0, 0]",25,1024,1
13,1,91.0,541,0.08251279999967664,"[1, 4, 1, 3, 1, 1, 2, 2, 0, 0]",25,1024,1
14,2,112.0,543,0.08424120000563562,"[1, 4, 1, 3, 4, 1, 2, 2, 0, 0]",25,1024,1
15,4,136.0,547,0.08764250000240281,"[1, 4, 3, 3, 4, 3, 2, 2, 0, 0]",25,1024,1
16,8,168.0,554,0.0901886000065133,"[1, 4, 4, 3, 4, 3, 2, 4, 3, 0]",25,1024,1
17,16,168.0,562,0.09323359999689274,"[1, 4, 4, 3, 4, 3, 2, 4, 3, 0]",25,1024,1
