,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.0006959000020287931,3.0,0.0,0.1,1024
1,1,0.005173999990802258,3.0,1.0,0.1,1024
2,2,0.008096200006548315,3.0,3.0,0.1,1024
3,3,0.010420600010547787,1.0,5.0,0.1,1024
4,4,0.010560700029600412,1.0,6.0,0.1,1024
5,5,0.012013200030196458,1.0,8.0,0.1,1024
6,6,0.012100499996449798,1.0,10.0,0.1,1024
7,7,0.012151600036304444,1.0,11.0,0.1,1024
8,8,0.012209400010760874,1.0,13.0,0.1,1024
9,9,0.014373500016517937,1.0,15.0,0.1,1024
10,10,0.014470299996901304,1.0,16.0,0.1,1024
11,11,0.01456580002559349,1.0,17.0,0.1,1024
12,12,0.014669199998024851,1.0,19.0,0.1,1024
13,13,0.014824000012595206,1.0,21.0,0.1,1024
14,14,0.014891900005750358,1.0,23.0,0.1,1024
15,15,0.014954900019802153,1.0,24.0,0.1,1024
16,16,0.015114700014237314,1.0,26.0,0.1,1024
17,17,0.017353400005958974,1.0,27.0,0.1,1024
18,18,0.017446400015614927,1.0,29.0,0.1,1024
19,19,0.01751829998102039,1.0,31.0,0.1,1024
20,20,0.017581599997356534,1.0,33.0,0.1,1024
21,21,0.01766210002824664,0.0,35.0,0.1,1024
22,0,0.0006959000020287931,3.0,0.0,0.5,1024
23,1,0.005173999990802258,3.0,1.0,0.5,1024
24,2,0.008096200006548315,3.0,3.0,0.5,1024
25,3,0.010420600010547787,1.0,5.0,0.5,1024
26,4,0.010560700029600412,1.0,6.0,0.5,1024
27,5,0.012013200030196458,1.0,8.0,0.5,1024
28,6,0.012100499996449798,1.0,10.0,0.5,1024
29,7,0.012151600036304444,1.0,11.0,0.5,1024
30,8,0.012209400010760874,1.0,13.0,0.5,1024
31,9,0.014373500016517937,1.0,15.0,0.5,1024
32,10,0.014470299996901304,1.0,16.0,0.5,1024
33,11,0.01456580002559349,1.0,17.0,0.5,1024
34,12,0.014669199998024851,1.0,19.0,0.5,1024
35,13,0.014824000012595206,1.0,21.0,0.5,1024
36,14,0.014891900005750358,1.0,23.0,0.5,1024
37,15,0.014954900019802153,1.0,24.0,0.5,1024
38,16,0.015114700014237314,1.0,26.0,0.5,1024
39,17,0.017353400005958974,1.0,27.0,0.5,1024
40,18,0.017446400015614927,1.0,29.0,0.5,1024
41,19,0.01751829998102039,1.0,31.0,0.5,1024
42,20,0.017581599997356534,1.0,33.0,0.5,1024
43,21,0.01766210002824664,0.0,35.0,0.5,1024
44,0,0.0006959000020287931,3.0,0.0,0.75,1024
45,1,0.005173999990802258,3.0,1.0,0.75,1024
46,2,0.008096200006548315,3.0,3.0,0.75,1024
47,3,0.010420600010547787,1.0,5.0,0.75,1024
48,4,0.010560700029600412,1.0,6.0,0.75,1024
49,5,0.012013200030196458,1.0,8.0,0.75,1024
50,6,0.012100499996449798,1.0,10.0,0.75,1024
51,7,0.012151600036304444,1.0,11.0,0.75,1024
52,8,0.012209400010760874,1.0,13.0,0.75,1024
53,9,0.014373500016517937,1.0,15.0,0.75,1024
54,10,0.014470299996901304,1.0,16.0,0.75,1024
55,11,0.01456580002559349,1.0,17.0,0.75,1024
56,12,0.014669199998024851,1.0,19.0,0.75,1024
57,13,0.014824000012595206,1.0,21.0,0.75,1024
58,14,0.014891900005750358,1.0,23.0,0.75,1024
59,15,0.014954900019802153,1.0,24.0,0.75,1024
60,16,0.015114700014237314,1.0,26.0,0.75,1024
61,17,0.017353400005958974,1.0,27.0,0.75,1024
62,18,0.017446400015614927,1.0,29.0,0.75,1024
63,19,0.01751829998102039,1.0,31.0,0.75,1024
64,20,0.017581599997356534,1.0,33.0,0.75,1024
65,21,0.01766210002824664,0.0,35.0,0.75,1024
66,0,0.0006959000020287931,3.0,0.0,1.0,1024
67,1,0.005173999990802258,3.0,1.0,1.0,1024
68,2,0.008096200006548315,3.0,3.0,1.0,1024
69,3,0.010420600010547787,1.0,5.0,1.0,1024
70,4,0.010560700029600412,1.0,6.0,1.0,1024
71,5,0.012013200030196458,1.0,8.0,1.0,1024
72,6,0.012100499996449798,1.0,10.0,1.0,1024
73,7,0.012151600036304444,1.0,11.0,1.0,1024
74,8,0.012209400010760874,1.0,13.0,1.0,1024
75,9,0.014373500016517937,1.0,15.0,1.0,1024
76,10,0.014470299996901304,1.0,16.0,1.0,1024
77,11,0.01456580002559349,1.0,17.0,1.0,1024
78,12,0.014669199998024851,1.0,19.0,1.0,1024
79,13,0.014824000012595206,1.0,21.0,1.0,1024
80,14,0.014891900005750358,1.0,23.0,1.0,1024
81,15,0.014954900019802153,1.0,24.0,1.0,1024
82,16,0.015114700014237314,1.0,26.0,1.0,1024
83,17,0.017353400005958974,1.0,27.0,1.0,1024
84,18,0.017446400015614927,1.0,29.0,1.0,1024
85,19,0.01751829998102039,1.0,31.0,1.0,1024
86,20,0.017581599997356534,1.0,33.0,1.0,1024
87,21,0.01766210002824664,0.0,35.0,1.0,1024
88,0,0.0006959000020287931,3.0,0.0,2.0,1024
89,1,0.005173999990802258,3.0,1.0,2.0,1024
90,2,0.008096200006548315,3.0,3.0,2.0,1024
91,3,0.010420600010547787,1.0,5.0,2.0,1024
92,4,0.010560700029600412,1.0,6.0,2.0,1024
93,5,0.012013200030196458,1.0,8.0,2.0,1024
94,6,0.012100499996449798,1.0,10.0,2.0,1024
95,7,0.012151600036304444,3.0,12.0,2.0,1024
96,8,0.012209400010760874,2.0,14.0,2.0,1024
97,9,0.014373500016517937,3.0,16.0,2.0,1024
98,10,0.014470299996901304,2.0,18.0,2.0,1024
99,11,0.01456580002559349,2.0,19.0,2.0,1024
100,12,0.014669199998024851,2.0,21.0,2.0,1024
101,13,0.014824000012595206,2.0,23.0,2.0,1024
102,14,0.014891900005750358,2.0,25.0,2.0,1024
103,15,0.014954900019802153,1.0,27.0,2.0,1024
104,16,0.015114700014237314,1.0,28.0,2.0,1024
105,17,0.017353400005958974,1.0,30.0,2.0,1024
106,18,0.017446400015614927,1.0,32.0,2.0,1024
107,19,0.01751829998102039,1.0,34.0,2.0,1024
108,20,0.017581599997356534,1.0,35.0,2.0,1024
109,21,0.01766210002824664,1.0,36.0,2.0,1024
110,22,0.0001330999657511711,1.0,38.0,2.0,1024
111,23,0.0017315999721176922,2.0,40.0,2.0,1024
112,24,0.003784200001973659,2.0,42.0,2.0,1024
113,25,0.005002199963200837,2.0,44.0,2.0,1024
114,26,0.005057299975305796,1.0,46.0,2.0,1024
115,27,0.0062120999791659415,1.0,48.0,2.0,1024
116,28,0.006277899956330657,1.0,49.0,2.0,1024
117,29,0.006324499961920083,0.0,51.0,2.0,1024
118,0,0.0006959000020287931,3.0,0.0,5.0,1024
119,1,0.005173999990802258,3.0,1.0,5.0,1024
120,2,0.008096200006548315,3.0,3.0,5.0,1024
121,3,0.010420600010547787,1.0,5.0,5.0,1024
122,4,0.010560700029600412,1.0,6.0,5.0,1024
123,5,0.012013200030196458,1.0,8.0,5.0,1024
124,6,0.012100499996449798,1.0,10.0,5.0,1024
125,7,0.012151600036304444,3.0,12.0,5.0,1024
126,8,0.012209400010760874,2.0,14.0,5.0,1024
127,9,0.014373500016517937,3.0,16.0,5.0,1024
128,10,0.014470299996901304,2.0,18.0,5.0,1024
129,11,0.01456580002559349,2.0,19.0,5.0,1024
130,12,0.014669199998024851,2.0,21.0,5.0,1024
131,13,0.014824000012595206,2.0,23.0,5.0,1024
132,14,0.014891900005750358,2.0,25.0,5.0,1024
133,15,0.014954900019802153,1.0,27.0,5.0,1024
134,16,0.015114700014237314,3.0,29.0,5.0,1024
135,17,0.017353400005958974,3.0,31.0,5.0,1024
136,18,0.017446400015614927,3.0,33.0,5.0,1024
137,19,0.01751829998102039,3.0,35.0,5.0,1024
138,20,0.017581599997356534,2.0,37.0,5.0,1024
139,21,0.01766210002824664,1.0,39.0,5.0,1024
140,22,0.0001330999657511711,1.0,40.0,5.0,1024
141,23,0.0017315999721176922,1.0,42.0,5.0,1024
142,24,0.003784200001973659,1.0,44.0,5.0,1024
143,25,0.005002199963200837,2.0,46.0,5.0,1024
144,26,0.005057299975305796,2.0,48.0,5.0,1024
145,27,0.0062120999791659415,2.0,50.0,5.0,1024
146,28,0.006277899956330657,2.0,52.0,5.0,1024
147,29,0.006324499961920083,3.0,54.0,5.0,1024
148,30,0.006381099985446781,2.0,56.0,5.0,1024
149,31,0.007596499985083938,2.0,58.0,5.0,1024
150,32,0.0076537999557331204,2.0,60.0,5.0,1024
151,33,0.007703699986450374,3.0,62.0,5.0,1024
152,34,0.007763299974612892,3.0,64.0,5.0,1024
153,35,0.007821699953638017,4.0,66.0,5.0,1024
154,36,0.007879799988586456,5.0,68.0,5.0,1024
155,37,0.007932099979370832,6.0,70.0,5.0,1024
156,38,0.007991199963726103,3.0,72.0,5.0,1024
157,39,0.009194999991450459,3.0,74.0,5.0,1024
158,40,0.00926739996066317,1.0,76.0,5.0,1024
159,41,0.00933259999146685,0.0,78.0,5.0,1024
