,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,3.0,0,0.0006959000020287931,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",geometric,0.1,0.99,0.001,0.09999930059957174,0.1,1024
1,1,3.0,1,0.005173999990802258,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",geometric,0.1,0.99,0.001,0.09999480009143857,0.1,1024
2,2,3.0,3,0.008096200006548315,"[1, 2, 2, 1, 4, 3, 3, 3, 0, 4]",geometric,0.1,0.99,0.001,0.09999186337812074,0.1,1024
3,4,1.0,6,0.010560700029600412,"[1, 2, 2, 1, 4, 3, 2, 3, 0, 4]",geometric,0.1,0.99,0.001,0.09998938670503545,0.1,1024
4,8,1.0,13,0.012209400010760874,"[1, 2, 2, 6, 4, 3, 2, 3, 0, 4]",geometric,0.1,0.99,0.001,0.0999877298957711,0.1,1024
5,16,1.0,26,0.015114700014237314,"[1, 2, 3, 4, 1, 3, 2, 3, 0, 4]",geometric,0.1,0.99,0.001,0.09998481037259394,0.1,1024
6,32,0.0,35,0.01766210002824664,"[6, 0, 2, 4, 1, 3, 2, 3, 0, 5]",geometric,0.1,0.99,0.001,0.09998225057168125,0.1,1024
7,64,0.0,35,0.01766210002824664,"[6, 0, 2, 4, 1, 3, 2, 3, 0, 5]",geometric,0.1,0.99,0.001,0.09998225057168125,0.1,1024
8,128,0.0,35,0.01766210002824664,"[6, 0, 2, 4, 1, 3, 2, 3, 0, 5]",geometric,0.1,0.99,0.001,0.09998225057168125,0.1,1024
9,256,0.0,35,0.01766210002824664,"[6, 0, 2, 4, 1, 3, 2, 3, 0, 5]",geometric,0.1,0.99,0.001,0.09998225057168125,0.1,1024
10,512,0.0,35,0.01766210002824664,"[6, 0, 2, 4, 1, 3, 2, 3, 0, 5]",geometric,0.1,0.99,0.001,0.09998225057168125,0.1,1024
11,1024,0.0,35,0.01766210002824664,"[6, 0, 2, 4, 1, 3, 2, 3, 0, 5]",geometric,0.1,0.99,0.001,0.09998225057168125,0.1,1024
12,0,3.0,0,0.0001330999657511711,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",geometric,0.5,0.99,0.001,0.4999993311507684,0.5,1024
13,1,3.0,1,0.0017315999721176922,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",geometric,0.5,0.99,0.001,0.49999129849507523,0.5,1024
14,2,3.0,3,0.003784200001973659,"[1, 2, 2, 1, 4, 3, 3, 3, 0, 4]",geometric,0.5,0.99,0.001,0.4999809841211345,0.5,1024
15,4,1.0,6,0.005057299975305796,"[1, 2, 2, 1, 4, 3, 2, 3, 0, 4]",geometric,0.5,0.99,0.001,0.4999745868642175,0.5,1024
16,8,1.0,13,0.006381099985446781,"[1, 2, 2, 6, 4, 3, 2, 3, 0, 4]",geometric,0.5,0.99,0.001,0.4999679349292285,0.5,1024
17,16,1.0,26,0.007991199963726103,"[1, 2, 3, 4, 1, 3, 2, 3, 0, 4]",geometric,0.5,0.99,0.001,0.4999598444907973,0.5,1024
18,32,0.0,35,0.009967599995434284,"[6, 0, 2, 4, 1, 3, 2, 3, 0, 5]",geometric,0.5,0.99,0.001,0.49994991364500674,0.5,1024
19,64,0.0,35,0.009967599995434284,"[6, 0, 2, 4, 1, 3, 2, 3, 0, 5]",geometric,0.5,0.99,0.001,0.49994991364500674,0.5,1024
20,128,0.0,35,0.009967599995434284,"[6, 0, 2, 4, 1, 3, 2, 3, 0, 5]",geometric,0.5,0.99,0.001,0.49994991364500674,0.5,1024
21,256,0.0,35,0.009967599995434284,"[6, 0, 2, 4, 1, 3, 2, 3, 0, 5]",geometric,0.5,0.99,0.001,0.49994991364500674,0.5,1024
22,512,0.0,35,0.009967599995434284,"[6, 0, 2, 4, 1, 3, 2, 3, 0, 5]",geometric,0.5,0.99,0.001,0.49994991364500674,0.5,1024
23,1024,0.0,35,0.009967599995434284,"[6, 0, 2, 4, 1, 3, 2, 3, 0, 5]",geometric,0.5,0.99,0.001,0.49994991364500674,0.5,1024
24,0,3.0,0,0.0002772000152617693,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",geometric,0.75,0.99,0.001,0.7499979105379716,0.75,1024
25,1,3.0,1,0.005705400020815432,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",geometric,0.75,0.99,0.001,0.7499569953431899,0.75,1024
26,2,3.0,3,0.009278799989260733,"[1, 2, 2, 1, 4, 3, 3, 3, 0, 4]",geometric,0.75,0.99,0.001,0.7499300619689311,0.75,1024
27,4,1.0,6,0.011302300030365586,"[1, 2, 2, 1, 4, 3, 2, 3, 0, 4]",geometric,0.75,0.99,0.001,0.749914810905071,0.75,1024
28,8,1.0,13,0.013785100018139929,"[1, 2, 2, 6, 4, 3, 2, 3, 0, 4]",geometric,0.75,0.99,0.001,0.7498960985339572,0.75,1024
29,16,1.0,26,0.015919400029815733,"[1, 2, 3, 4, 1, 3, 2, 3, 0, 4]",geometric,0.75,0.99,0.001,0.7498800131112617,0.75,1024
