,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,11.0,0,0.0005848000000696629,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",geometric,0.1,0.99,0.001,0.09999941225808644,0.1,1024
1,1,11.0,1,0.001901199997519143,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",geometric,0.1,0.99,0.001,0.09999808924840513,0.1,1024
2,2,11.0,2,0.003077599991229363,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",geometric,0.1,0.99,0.001,0.09999690695648213,0.1,1024
3,4,11.0,4,0.005543099992792122,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",geometric,0.1,0.99,0.001,0.09999442915351771,0.1,1024
4,8,8.0,12,0.009681199997430667,"[3, 2, 0, 8, 1, 7, 4, 8, 4, 2]",geometric,0.1,0.99,0.001,0.09999027054219854,0.1,1024
5,16,6.0,23,0.0135009999939939,"[3, 2, 0, 8, 1, 2, 4, 7, 4, 0]",geometric,0.1,0.99,0.001,0.09998643196211177,0.1,1024
6,32,4.0,45,0.019698299991432577,"[3, 5, 8, 8, 1, 2, 8, 7, 4, 0]",geometric,0.1,0.99,0.001,0.09998020450650073,0.1,1024
7,64,4.0,86,0.03339630000118632,"[8, 5, 8, 6, 0, 2, 5, 9, 9, 9]",geometric,0.1,0.99,0.001,0.09996644122908802,0.1,1024
8,128,2.0,158,0.06279299999005161,"[8, 5, 1, 6, 0, 2, 7, 7, 3, 3]",geometric,0.1,0.99,0.001,0.09993691083567269,0.1,1024
9,256,1.0,295,0.10889239999232814,"[8, 5, 1, 6, 0, 2, 7, 5, 3, 9]",geometric,0.1,0.99,0.001,0.09989061934511394,0.1,1024
10,512,1.0,560,0.2186012999882223,"[8, 4, 1, 6, 0, 2, 7, 5, 3, 9]",geometric,0.1,0.99,0.001,0.09978053951913335,0.1,1024
11,1024,1.0,1093,0.5110005999886198,"[6, 8, 1, 7, 0, 2, 7, 5, 3, 9]",geometric,0.1,0.99,0.001,0.09948774376505837,0.1,1024
