,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,433.0,200,0.004325700007029809,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1]",200,0.25,1024
1,1,495.0,402,0.01818749999802094,"[4, 0, 2, 1, 1, 1, 3, 4, 1, 0, 3, 3, 1, 4, 1, 2, 4, 4, 1, 4, 1, 3, 4, 2, 4, 3, 0, 4, 3, 3, 4, 4, 1, 4, 1, 4, 1, 3, 1, 4]",200,0.25,1024
2,2,498.0,604,0.03151640000578482,"[1, 1, 3, 3, 0, 4, 2, 0, 0, 1, 1, 0, 4, 4, 3, 4, 4, 4, 2, 4, 2, 1, 4, 1, 3, 4, 1, 2, 4, 4, 3, 4, 2, 4, 4, 4, 3, 2, 4, 4]",200,0.25,1024
3,4,531.0,1007,0.05628950000391342,"[0, 2, 4, 1, 3, 4, 0, 3, 0, 3, 0, 4, 4, 3, 3, 3, 4, 2, 3, 0, 3, 3, 4, 4, 2, 3, 4, 3, 4, 4, 0, 4, 0, 1, 4, 2, 2, 4, 4, 4]",200,0.25,1024
4,8,561.0,1814,0.10597830000915565,"[0, 4, 4, 1, 3, 1, 2, 3, 0, 3, 3, 4, 4, 4, 4, 2, 4, 4, 4, 3, 3, 3, 4, 2, 0, 2, 3, 4, 4, 4, 4, 4, 4, 3, 0, 3, 4, 3, 0, 3]",200,0.25,1024
5,16,609.0,3425,0.20375390000117477,"[4, 4, 4, 2, 3, 3, 2, 4, 4, 3, 4, 2, 4, 4, 4, 4, 1, 2, 1, 2, 0, 4, 4, 4, 4, 4, 4, 2, 4, 4, 2, 4, 1, 4, 4, 4, 3, 4, 3, 3]",200,0.25,1024
6,32,658.0,6650,0.39884840000013355,"[4, 4, 4, 0, 2, 3, 2, 4, 4, 3, 4, 4, 4, 4, 4, 2, 3, 3, 4, 1, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 0, 4, 0, 4, 3, 4, 3, 4]",200,0.25,1024
7,64,683.0,13092,0.7825082000053953,"[4, 4, 4, 0, 2, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 0, 4, 3, 4]",200,0.25,1024
8,128,684.0,25957,1.5475355999951717,"[4, 4, 4, 0, 1, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 2, 4, 3, 4]",200,0.25,1024
9,256,684.0,51685,3.082792300003348,"[4, 4, 4, 0, 1, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 2, 4, 3, 4]",200,0.25,1024
10,512,684.0,103141,6.196006900005159,"[4, 4, 4, 0, 1, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 2, 4, 3, 4]",200,0.25,1024
11,1024,684.0,113995,6.855122699998901,"[4, 4, 4, 0, 1, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 0, 4, 2, 4, 3, 4]",200,0.25,1024
12,0,433.0,200,0.005303800004185177,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1]",200,0.5,1024
13,1,497.0,402,0.019769399994402193,"[3, 4, 1, 4, 2, 1, 0, 4, 4, 1, 2, 2, 4, 2, 3, 3, 2, 4, 4, 4, 4, 2, 3, 4, 3, 4, 3, 2, 4, 2, 4, 4, 2, 0, 4, 0, 3, 1, 4, 3]",200,0.5,1024
14,2,497.0,603,0.03293790000316221,"[3, 4, 1, 4, 2, 1, 0, 4, 4, 1, 2, 2, 4, 2, 3, 3, 2, 4, 4, 4, 4, 2, 3, 4, 3, 4, 3, 2, 4, 2, 4, 4, 2, 0, 4, 0, 3, 1, 4, 3]",200,0.5,1024
15,4,528.0,1007,0.059733000001870096,"[3, 4, 4, 4, 0, 3, 0, 3, 4, 1, 3, 2, 3, 4, 4, 4, 3, 2, 4, 1, 1, 2, 2, 3, 1, 4, 4, 4, 3, 3, 4, 2, 3, 3, 4, 4, 2, 2, 1, 2]",200,0.5,1024
16,8,572.0,1815,0.11169320000044536,"[4, 1, 4, 0, 3, 1, 1, 3, 4, 1, 3, 4, 4, 4, 3, 4, 3, 4, 4, 0, 4, 3, 2, 2, 4, 4, 3, 3, 3, 2, 3, 4, 2, 3, 4, 3, 1, 1, 3, 4]",200,0.5,1024
17,16,627.0,3429,0.21342240000376478,"[2, 4, 4, 1, 3, 3, 1, 4, 2, 1, 3, 4, 4, 4, 4, 4, 4, 0, 2, 3, 2, 1, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 0, 3, 1, 4, 3, 4, 3, 4]",200,0.5,1024
