,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,11.0,200,0.08429950001300313,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",200,0.25,1024
1,1,4.0,402,0.15427830000407994,"[6, 2, 2, 7, 3, 0, 1, 9, 5, 3]",200,0.25,1024
2,2,4.0,603,0.21481070001027547,"[6, 2, 2, 7, 3, 0, 1, 9, 5, 3]",200,0.25,1024
3,4,3.0,1006,0.32916710000426974,"[2, 9, 9, 4, 0, 9, 6, 8, 1, 7]",200,0.25,1024
4,8,2.0,1811,0.5536391000059666,"[2, 5, 9, 4, 1, 8, 6, 7, 0, 3]",200,0.25,1024
5,16,1.0,3420,1.0252178000082495,"[3, 0, 9, 4, 1, 5, 8, 2, 0, 7]",200,0.25,1024
6,32,1.0,6636,2.082107000009273,"[3, 0, 9, 4, 1, 5, 8, 2, 0, 7]",200,0.25,1024
7,64,0.0,8848,2.741508300008718,"[2, 5, 9, 4, 1, 8, 6, 3, 0, 7]",200,0.25,1024
8,128,0.0,8848,2.741508300008718,"[2, 5, 9, 4, 1, 8, 6, 3, 0, 7]",200,0.25,1024
9,256,0.0,8848,2.741508300008718,"[2, 5, 9, 4, 1, 8, 6, 3, 0, 7]",200,0.25,1024
10,512,0.0,8848,2.741508300008718,"[2, 5, 9, 4, 1, 8, 6, 3, 0, 7]",200,0.25,1024
11,1024,0.0,8848,2.741508300008718,"[2, 5, 9, 4, 1, 8, 6, 3, 0, 7]",200,0.25,1024
12,0,11.0,200,0.05118310000398196,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",200,0.5,1024
13,1,4.0,402,0.10951599999680184,"[9, 1, 5, 9, 6, 0, 2, 1, 3, 8]",200,0.5,1024
14,2,4.0,603,0.1664429999946151,"[9, 1, 5, 9, 6, 0, 2, 1, 3, 8]",200,0.5,1024
15,4,4.0,1005,0.2770206999994116,"[9, 1, 5, 9, 6, 0, 2, 1, 3, 8]",200,0.5,1024
16,8,2.0,1810,0.5092514999996638,"[1, 5, 8, 2, 7, 3, 9, 0, 4, 9]",200,0.5,1024
17,16,2.0,3418,1.0005207999929553,"[1, 5, 8, 2, 7, 3, 9, 0, 4, 9]",200,0.5,1024
18,32,2.0,6634,2.081424000003608,"[1, 5, 8, 2, 7, 3, 9, 0, 4, 9]",200,0.5,1024
19,64,1.0,13067,4.127130399996531,"[5, 8, 3, 0, 7, 1, 6, 9, 2, 4]",200,0.5,1024
20,128,1.0,25931,7.862403799997992,"[5, 8, 3, 0, 7, 1, 6, 9, 2, 4]",200,0.5,1024
21,256,1.0,51659,15.549486199990497,"[5, 8, 3, 0, 7, 1, 6, 9, 2, 4]",200,0.5,1024
22,512,1.0,103115,30.523868799995398,"[5, 8, 3, 0, 7, 1, 6, 9, 2, 4]",200,0.5,1024
23,1024,1.0,108140,32.14642069999536,"[5, 8, 3, 0, 7, 1, 6, 9, 2, 4]",200,0.5,1024
24,0,11.0,200,0.08004070000606589,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",200,0.75,1024
25,1,3.0,402,0.19832120000501163,"[6, 1, 6, 0, 3, 0, 9, 5, 2, 2]",200,0.75,1024
26,2,2.0,604,0.2673025999974925,"[7, 4, 8, 3, 0, 7, 5, 1, 6, 9]",200,0.75,1024
27,4,2.0,1006,0.3783795000053942,"[7, 4, 8, 3, 0, 7, 5, 1, 6, 9]",200,0.75,1024
28,8,2.0,1810,0.5950566999963485,"[7, 4, 8, 3, 0, 7, 5, 1, 6, 9]",200,0.75,1024
29,16,2.0,3418,1.0243203999998514,"[7, 4, 8, 3, 0, 7, 5, 1, 6, 9]",200,0.75,1024
30,32,1.0,6635,2.01526179999928,"[2, 4, 8, 3, 9, 7, 5, 1, 6, 0]",200,0.75,1024
31,64,0.0,10254,3.111294899994391,"[4, 2, 8, 3, 9, 7, 5, 1, 6, 0]",200,0.75,1024
32,128,0.0,10254,3.111294899994391,"[4, 2, 8, 3, 9, 7, 5, 1, 6, 0]",200,0.75,1024
33,256,0.0,10254,3.111294899994391,"[4, 2, 8, 3, 9, 7, 5, 1, 6, 0]",200,0.75,1024
34,512,0.0,10254,3.111294899994391,"[4, 2, 8, 3, 9, 7, 5, 1, 6, 0]",200,0.75,1024
35,1024,0.0,10254,3.111294899994391,"[4, 2, 8, 3, 9, 7, 5, 1, 6, 0]",200,0.75,1024
36,0,11.0,400,0.11347999999998137,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",400,0.25,1024
37,1,3.0,802,0.24706029999651946,"[8, 4, 9, 1, 8, 2, 8, 6, 8, 0]",400,0.25,1024
38,2,3.0,1203,0.366406500004814,"[8, 4, 9, 1, 8, 2, 8, 6, 8, 0]",400,0.25,1024
39,4,3.0,2005,0.6043975000065984,"[8, 4, 9, 1, 8, 2, 8, 6, 8, 0]",400,0.25,1024
40,8,2.0,3610,1.0929973000020254,"[2, 0, 7, 1, 5, 9, 1, 3, 8, 6]",400,0.25,1024
41,16,2.0,6818,2.024313899994013,"[2, 0, 7, 1, 5, 9, 1, 3, 8, 6]",400,0.25,1024
42,32,1.0,13235,3.838961300003575,"[6, 0, 3, 5, 7, 9, 4, 2, 8, 3]",400,0.25,1024
43,64,1.0,26067,7.544673700002022,"[6, 0, 3, 5, 7, 9, 4, 2, 8, 3]",400,0.25,1024
44,128,1.0,51731,16.648540099995444,"[6, 0, 3, 5, 7, 9, 4, 2, 8, 3]",400,0.25,1024
45,256,1.0,103059,32.33223040000303,"[6, 0, 3, 5, 7, 9, 4, 2, 8, 3]",400,0.25,1024
46,512,1.0,205715,61.576946800007136,"[6, 0, 3, 5, 7, 9, 4, 2, 8, 3]",400,0.25,1024
47,1024,1.0,209324,62.54053919999569,"[6, 0, 3, 5, 7, 9, 4, 2, 8, 3]",400,0.25,1024
48,0,11.0,400,0.09060070000123233,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",400,0.5,1024
49,1,4.0,802,0.2000112999958219,"[1, 3, 8, 1, 2, 4, 5, 7, 0, 6]",400,0.5,1024
50,2,2.0,1204,0.31697680000797845,"[8, 3, 0, 4, 7, 9, 0, 5, 1, 6]",400,0.5,1024
51,4,2.0,2006,0.5424010999995517,"[8, 3, 0, 4, 7, 9, 0, 5, 1, 6]",400,0.5,1024
52,8,2.0,3610,0.978621900008875,"[8, 3, 0, 4, 7, 9, 0, 5, 1, 6]",400,0.5,1024
53,16,2.0,6818,2.0821082000038587,"[8, 3, 0, 4, 7, 9, 0, 5, 1, 6]",400,0.5,1024
54,32,1.0,13235,4.180352299998049,"[3, 0, 8, 4, 9, 0, 2, 5, 1, 6]",400,0.5,1024
55,64,1.0,26067,8.167858000000706,"[3, 0, 8, 4, 9, 0, 2, 5, 1, 6]",400,0.5,1024
56,128,1.0,51731,16.004865700000664,"[3, 0, 8, 4, 9, 0, 2, 5, 1, 6]",400,0.5,1024
57,256,1.0,103059,30.630551900001592,"[3, 0, 8, 4, 9, 0, 2, 5, 1, 6]",400,0.5,1024
58,512,1.0,205715,59.3392645999993,"[3, 0, 8, 4, 9, 0, 2, 5, 1, 6]",400,0.5,1024
59,1024,1.0,212933,61.463186799999676,"[3, 0, 8, 4, 9, 0, 2, 5, 1, 6]",400,0.5,1024
