,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.00034410000080242753,10.0,0.0,False,200,0.25,1024
1,1,0.1835438999987673,17.0,2.0,False,200,0.25,1024
2,2,0.36596760000975337,18.0,4.0,False,200,0.25,1024
3,3,0.549420099996496,19.0,6.0,False,200,0.25,1024
4,0,0.00034410000080242753,10.0,0.0,False,200,0.5,1024
5,1,0.1835438999987673,16.0,2.0,False,200,0.5,1024
6,2,0.36596760000975337,17.0,4.0,False,200,0.5,1024
7,3,0.549420099996496,17.0,5.0,False,200,0.5,1024
8,4,0.00034070000401698053,18.0,7.0,False,200,0.5,1024
9,5,0.18905970000196248,18.0,8.0,False,200,0.5,1024
10,6,0.3764886999997543,19.0,10.0,False,200,0.5,1024
11,0,0.00034410000080242753,10.0,0.0,False,200,0.75,1024
12,1,0.1835438999987673,16.0,2.0,False,200,0.75,1024
13,2,0.36596760000975337,16.0,3.0,False,200,0.75,1024
14,3,0.549420099996496,17.0,5.0,False,200,0.75,1024
15,4,0.00034070000401698053,17.0,6.0,False,200,0.75,1024
16,5,0.18905970000196248,17.0,7.0,False,200,0.75,1024
17,6,0.3764886999997543,17.0,8.0,False,200,0.75,1024
18,7,0.5628710000019055,17.0,9.0,False,200,0.75,1024
19,8,0.7464392999972915,18.0,11.0,False,200,0.75,1024
20,9,0.930940999998711,18.0,12.0,False,200,0.75,1024
21,10,1.1147253999952227,18.0,13.0,False,200,0.75,1024
22,11,0.00024090000079013407,18.0,14.0,False,200,0.75,1024
23,12,0.18747059999441262,18.0,15.0,False,200,0.75,1024
24,13,0.37896079999336507,19.0,17.0,False,200,0.75,1024
25,0,0.00034410000080242753,10.0,0.0,False,400,0.25,1024
26,1,0.1835438999987673,18.0,2.0,False,400,0.25,1024
27,2,0.36596760000975337,18.0,3.0,False,400,0.25,1024
28,3,0.549420099996496,19.0,5.0,False,400,0.25,1024
29,0,0.00034410000080242753,10.0,0.0,False,400,0.5,1024
30,1,0.1835438999987673,16.0,2.0,False,400,0.5,1024
31,2,0.36596760000975337,17.0,4.0,False,400,0.5,1024
32,3,0.549420099996496,18.0,6.0,False,400,0.5,1024
33,4,0.00034070000401698053,18.0,7.0,False,400,0.5,1024
34,5,0.18905970000196248,18.0,8.0,False,400,0.5,1024
35,6,0.3764886999997543,19.0,10.0,False,400,0.5,1024
36,0,0.00034410000080242753,10.0,0.0,False,400,0.75,1024
37,1,0.1835438999987673,15.0,2.0,False,400,0.75,1024
38,2,0.36596760000975337,16.0,4.0,False,400,0.75,1024
39,3,0.549420099996496,17.0,6.0,False,400,0.75,1024
40,4,0.00034070000401698053,17.0,7.0,False,400,0.75,1024
41,5,0.18905970000196248,17.0,8.0,False,400,0.75,1024
42,6,0.3764886999997543,17.0,9.0,False,400,0.75,1024
43,7,0.5628710000019055,17.0,10.0,False,400,0.75,1024
44,8,0.7464392999972915,18.0,12.0,False,400,0.75,1024
45,9,0.930940999998711,18.0,13.0,False,400,0.75,1024
46,10,1.1147253999952227,18.0,14.0,False,400,0.75,1024
47,11,0.00024090000079013407,19.0,16.0,False,400,0.75,1024
48,0,0.00034410000080242753,10.0,0.0,False,600,0.25,1024
49,1,0.1835438999987673,17.0,2.0,False,600,0.25,1024
50,2,0.36596760000975337,19.0,4.0,False,600,0.25,1024
51,0,0.00034410000080242753,10.0,0.0,False,600,0.5,1024
52,1,0.1835438999987673,17.0,2.0,False,600,0.5,1024
53,2,0.36596760000975337,17.0,3.0,False,600,0.5,1024
54,3,0.549420099996496,18.0,5.0,False,600,0.5,1024
55,4,0.00034070000401698053,19.0,7.0,False,600,0.5,1024
56,0,0.00034410000080242753,10.0,0.0,False,600,0.75,1024
57,1,0.1835438999987673,16.0,2.0,False,600,0.75,1024
58,2,0.36596760000975337,16.0,3.0,False,600,0.75,1024
59,3,0.549420099996496,17.0,5.0,False,600,0.75,1024
60,4,0.00034070000401698053,17.0,6.0,False,600,0.75,1024
61,5,0.18905970000196248,17.0,7.0,False,600,0.75,1024
62,6,0.3764886999997543,18.0,9.0,False,600,0.75,1024
63,7,0.5628710000019055,18.0,10.0,False,600,0.75,1024
64,8,0.7464392999972915,18.0,11.0,False,600,0.75,1024
65,9,0.930940999998711,18.0,12.0,False,600,0.75,1024
66,10,1.1147253999952227,19.0,14.0,False,600,0.75,1024
