,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,102.0,200,0.004685699997935444,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",False,200,0.25,1024
1,1,185.0,402,0.051117800001520663,"[4.0, 3.0, 3.0, 4.0, 2.0, 4.0, 4.0, 0.0, 4.0, 3.0]",False,200,0.25,1024
2,2,194.0,604,0.10251879999123048,"[3.0, 4.0, 4.0, 0.0, 4.0, 4.0, 3.0, 3.0, 4.0, 2.0]",False,200,0.25,1024
3,4,204.0,1007,0.20599400000355672,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0]",False,200,0.25,1024
4,8,204.0,1811,0.3983933999988949,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0]",False,200,0.25,1024
5,16,204.0,3419,0.7710273999982746,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0]",False,200,0.25,1024
6,32,204.0,6635,1.5091348999994807,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0]",False,200,0.25,1024
7,64,204.0,13067,2.9773334999918006,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0]",False,200,0.25,1024
8,128,204.0,25931,5.926202299990109,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0]",False,200,0.25,1024
9,256,204.0,51659,11.823828399996273,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0]",False,200,0.25,1024
10,512,204.0,101306,23.213253599999007,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0]",False,200,0.25,1024
11,1024,204.0,101306,23.213253599999007,"[4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0]",False,200,0.25,1024
12,0,102.0,200,0.00409879999642726,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",False,200,0.5,1024
13,1,188.0,402,0.05100540000421461,"[4.0, 4.0, 3.0, 0.0, 4.0, 4.0, 3.0, 2.0, 4.0, 1.0]",False,200,0.5,1024
14,2,193.0,604,0.10543389999656938,"[3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0, 2.0, 4.0, 0.0]",False,200,0.5,1024
15,4,193.0,1006,0.20849079999607056,"[3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0, 2.0, 4.0, 0.0]",False,200,0.5,1024
16,8,202.0,1813,0.4073937999928603,"[3.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 3.0, 4.0, 1.0]",False,200,0.5,1024
17,16,207.0,3423,0.7943530000047758,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,200,0.5,1024
18,32,207.0,6639,1.529515200003516,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,200,0.5,1024
19,64,207.0,13071,3.015216700005112,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,200,0.5,1024
20,128,207.0,25935,6.017598799997359,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,200,0.5,1024
21,256,207.0,51663,11.905983599994215,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,200,0.5,1024
22,512,207.0,103119,23.692645200004335,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,200,0.5,1024
23,1024,207.0,103722,23.833255100005772,"[4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]",False,200,0.5,1024
24,0,102.0,200,0.004054199991514906,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",False,200,0.75,1024
25,1,175.0,402,0.05349379999097437,"[4.0, 4.0, 3.0, 0.0, 4.0, 2.0, 2.0, 4.0, 4.0, 2.0]",False,200,0.75,1024
26,2,182.0,604,0.10907049999514129,"[3.0, 4.0, 3.0, 0.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.0]",False,200,0.75,1024
27,4,185.0,1007,0.2137188999913633,"[4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 2.0, 3.0, 4.0, 3.0]",False,200,0.75,1024
28,8,202.0,1813,0.4254868999996688,"[4.0, 4.0, 3.0, 0.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0]",False,200,0.75,1024
29,16,203.0,3422,0.8313385999936145,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,200,0.75,1024
30,32,203.0,6638,1.5936091000039596,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,200,0.75,1024
31,64,203.0,13070,3.065189000000828,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,200,0.75,1024
32,128,203.0,25934,6.012687900001765,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,200,0.75,1024
33,256,203.0,51662,11.886612899994361,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,200,0.75,1024
34,512,203.0,102716,23.660504400002537,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,200,0.75,1024
35,1024,203.0,102716,23.660504400002537,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 0.0]",False,200,0.75,1024
36,0,102.0,400,0.008987900000647642,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4]",False,400,0.25,1024
37,1,189.0,802,0.06080150000343565,"[4.0, 4.0, 0.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0]",False,400,0.25,1024
38,2,189.0,1203,0.11833099999057595,"[4.0, 4.0, 0.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0]",False,400,0.25,1024
