,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,11.0,200,0.045460800000000745,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",False,200,0.25,1024
1,1,4.0,402,0.1435602999990806,"[6.0, 4.0, 2.0, 1.0, 5.0, 7.0, 0.0, 3.0, 9.0, 8.0]",False,200,0.25,1024
2,2,3.0,604,0.24493300000904128,"[6.0, 4.0, 9.0, 9.0, 0.0, 3.0, 8.0, 2.0, 9.0, 1.0]",False,200,0.25,1024
3,4,2.0,1007,0.4479660000069998,"[2.0, 0.0, 5.0, 9.0, 7.0, 1.0, 3.0, 8.0, 6.0, 1.0]",False,200,0.25,1024
4,8,2.0,1811,0.8757695999956923,"[2.0, 0.0, 5.0, 9.0, 7.0, 1.0, 3.0, 8.0, 6.0, 1.0]",False,200,0.25,1024
5,16,2.0,3419,1.6735037000034936,"[2.0, 0.0, 5.0, 9.0, 7.0, 1.0, 3.0, 8.0, 6.0, 1.0]",False,200,0.25,1024
6,32,2.0,6635,3.246827700000722,"[2.0, 0.0, 5.0, 9.0, 7.0, 1.0, 3.0, 8.0, 6.0, 1.0]",False,200,0.25,1024
7,64,2.0,13067,6.770365300006233,"[2.0, 0.0, 5.0, 9.0, 7.0, 1.0, 3.0, 8.0, 6.0, 1.0]",False,200,0.25,1024
8,128,2.0,25931,13.292467000006582,"[2.0, 0.0, 5.0, 9.0, 7.0, 1.0, 3.0, 8.0, 6.0, 1.0]",False,200,0.25,1024
9,256,2.0,51659,26.335724999997183,"[2.0, 0.0, 5.0, 9.0, 7.0, 1.0, 3.0, 8.0, 6.0, 1.0]",False,200,0.25,1024
10,512,2.0,101507,50.40659300000698,"[2.0, 0.0, 5.0, 9.0, 7.0, 1.0, 3.0, 8.0, 6.0, 1.0]",False,200,0.25,1024
11,1024,2.0,101507,50.40659300000698,"[2.0, 0.0, 5.0, 9.0, 7.0, 1.0, 3.0, 8.0, 6.0, 1.0]",False,200,0.25,1024
12,0,11.0,200,0.047001800005091354,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",False,200,0.5,1024
13,1,5.0,402,0.1456151000020327,"[1.0, 5.0, 0.0, 2.0, 1.0, 6.0, 9.0, 3.0, 4.0, 4.0]",False,200,0.5,1024
14,2,4.0,604,0.24719700000423472,"[0.0, 5.0, 0.0, 7.0, 3.0, 8.0, 1.0, 8.0, 4.0, 2.0]",False,200,0.5,1024
15,4,3.0,1007,0.45073039999988396,"[2.0, 9.0, 6.0, 4.0, 1.0, 1.0, 9.0, 6.0, 8.0, 3.0]",False,200,0.5,1024
16,8,2.0,1812,0.86673750000773,"[9.0, 5.0, 8.0, 4.0, 9.0, 0.0, 6.0, 1.0, 7.0, 7.0]",False,200,0.5,1024
17,16,2.0,3420,1.6715293000015663,"[9.0, 5.0, 8.0, 4.0, 9.0, 0.0, 6.0, 1.0, 7.0, 7.0]",False,200,0.5,1024
18,32,2.0,6636,3.312110600003507,"[9.0, 5.0, 8.0, 4.0, 9.0, 0.0, 6.0, 1.0, 7.0, 7.0]",False,200,0.5,1024
19,64,2.0,13068,6.673180900004809,"[9.0, 5.0, 8.0, 4.0, 9.0, 0.0, 6.0, 1.0, 7.0, 7.0]",False,200,0.5,1024
20,128,2.0,25932,13.18009890000394,"[9.0, 5.0, 8.0, 4.0, 9.0, 0.0, 6.0, 1.0, 7.0, 7.0]",False,200,0.5,1024
21,256,2.0,51660,26.091532000005827,"[9.0, 5.0, 8.0, 4.0, 9.0, 0.0, 6.0, 1.0, 7.0, 7.0]",False,200,0.5,1024
22,512,2.0,102312,51.65654950001044,"[9.0, 5.0, 8.0, 4.0, 9.0, 0.0, 6.0, 1.0, 7.0, 7.0]",False,200,0.5,1024
23,1024,2.0,102312,51.65654950001044,"[9.0, 5.0, 8.0, 4.0, 9.0, 0.0, 6.0, 1.0, 7.0, 7.0]",False,200,0.5,1024
24,0,11.0,200,0.04738499999803025,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",False,200,0.75,1024
25,1,3.0,402,0.15596889999869745,"[9.0, 1.0, 2.0, 0.0, 8.0, 6.0, 0.0, 5.0, 7.0, 4.0]",False,200,0.75,1024
26,2,3.0,603,0.2618971000047168,"[9.0, 1.0, 2.0, 0.0, 8.0, 6.0, 0.0, 5.0, 7.0, 4.0]",False,200,0.75,1024
27,4,3.0,1005,0.4759446999960346,"[9.0, 1.0, 2.0, 0.0, 8.0, 6.0, 0.0, 5.0, 7.0, 4.0]",False,200,0.75,1024
28,8,3.0,1809,0.8831874000024982,"[9.0, 1.0, 2.0, 0.0, 8.0, 6.0, 0.0, 5.0, 7.0, 4.0]",False,200,0.75,1024
29,16,2.0,3418,1.838285599995288,"[2.0, 9.0, 3.0, 1.0, 8.0, 4.0, 0.0, 4.0, 0.0, 5.0]",False,200,0.75,1024
30,32,2.0,6634,3.6400231000006897,"[2.0, 9.0, 3.0, 1.0, 8.0, 4.0, 0.0, 4.0, 0.0, 5.0]",False,200,0.75,1024
31,64,2.0,13066,6.771371399998316,"[2.0, 9.0, 3.0, 1.0, 8.0, 4.0, 0.0, 4.0, 0.0, 5.0]",False,200,0.75,1024
32,128,2.0,25930,13.591459200004465,"[2.0, 9.0, 3.0, 1.0, 8.0, 4.0, 0.0, 4.0, 0.0, 5.0]",False,200,0.75,1024
33,256,2.0,51658,27.67178530000092,"[2.0, 9.0, 3.0, 1.0, 8.0, 4.0, 0.0, 4.0, 0.0, 5.0]",False,200,0.75,1024
34,512,2.0,102511,57.724459300006856,"[2.0, 9.0, 3.0, 1.0, 8.0, 4.0, 0.0, 4.0, 0.0, 5.0]",False,200,0.75,1024
35,1024,2.0,102511,57.724459300006856,"[2.0, 9.0, 3.0, 1.0, 8.0, 4.0, 0.0, 4.0, 0.0, 5.0]",False,200,0.75,1024
36,0,11.0,400,0.14244340000732336,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",False,400,0.25,1024
37,1,3.0,802,0.5521853999962332,"[0.0, 4.0, 9.0, 1.0, 4.0, 7.0, 3.0, 0.0, 2.0, 5.0]",False,400,0.25,1024
38,2,3.0,1203,0.7063372999982676,"[0.0, 4.0, 9.0, 1.0, 4.0, 7.0, 3.0, 0.0, 2.0, 5.0]",False,400,0.25,1024
39,4,3.0,2005,0.9832900000037625,"[0.0, 4.0, 9.0, 1.0, 4.0, 7.0, 3.0, 0.0, 2.0, 5.0]",False,400,0.25,1024
40,8,2.0,3610,1.5205952999967849,"[7.0, 4.0, 0.0, 9.0, 6.0, 1.0, 2.0, 8.0, 3.0, 8.0]",False,400,0.25,1024
41,16,2.0,6818,2.6024615000060294,"[7.0, 4.0, 0.0, 9.0, 6.0, 1.0, 2.0, 8.0, 3.0, 8.0]",False,400,0.25,1024
42,32,2.0,13234,4.6395400000037625,"[7.0, 4.0, 0.0, 9.0, 6.0, 1.0, 2.0, 8.0, 3.0, 8.0]",False,400,0.25,1024
43,64,2.0,26066,9.784893999996711,"[7.0, 4.0, 0.0, 9.0, 6.0, 1.0, 2.0, 8.0, 3.0, 8.0]",False,400,0.25,1024
44,128,2.0,51730,18.889129000002868,"[7.0, 4.0, 0.0, 9.0, 6.0, 1.0, 2.0, 8.0, 3.0, 8.0]",False,400,0.25,1024
45,256,2.0,103058,35.92244890000438,"[7.0, 4.0, 0.0, 9.0, 6.0, 1.0, 2.0, 8.0, 3.0, 8.0]",False,400,0.25,1024
46,512,2.0,202907,66.72252979999757,"[7.0, 4.0, 0.0, 9.0, 6.0, 1.0, 2.0, 8.0, 3.0, 8.0]",False,400,0.25,1024
47,1024,2.0,202907,66.72252979999757,"[7.0, 4.0, 0.0, 9.0, 6.0, 1.0, 2.0, 8.0, 3.0, 8.0]",False,400,0.25,1024
48,0,11.0,400,0.08484329999191687,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",False,400,0.5,1024
49,1,4.0,802,0.21739140000136103,"[4.0, 0.0, 9.0, 0.0, 7.0, 1.0, 8.0, 8.0, 8.0, 3.0]",False,400,0.5,1024
50,2,4.0,1203,0.35290230000100564,"[4.0, 0.0, 9.0, 0.0, 7.0, 1.0, 8.0, 8.0, 8.0, 3.0]",False,400,0.5,1024
51,4,2.0,2006,0.6150062999950023,"[1.0, 3.0, 9.0, 3.0, 8.0, 2.0, 4.0, 6.0, 0.0, 7.0]",False,400,0.5,1024
52,8,1.0,3611,1.1452902000019094,"[7.0, 2.0, 0.0, 8.0, 6.0, 4.0, 9.0, 1.0, 5.0, 9.0]",False,400,0.5,1024
53,16,1.0,6819,2.2009963000018615,"[7.0, 2.0, 0.0, 8.0, 6.0, 4.0, 9.0, 1.0, 5.0, 9.0]",False,400,0.5,1024
54,32,1.0,13235,4.177343499992276,"[7.0, 2.0, 0.0, 8.0, 6.0, 4.0, 9.0, 1.0, 5.0, 9.0]",False,400,0.5,1024
55,64,1.0,26067,8.143135999998776,"[7.0, 2.0, 0.0, 8.0, 6.0, 4.0, 9.0, 1.0, 5.0, 9.0]",False,400,0.5,1024
56,128,1.0,51731,16.02137109999603,"[7.0, 2.0, 0.0, 8.0, 6.0, 4.0, 9.0, 1.0, 5.0, 9.0]",False,400,0.5,1024
57,256,1.0,103059,31.68581589999667,"[7.0, 2.0, 0.0, 8.0, 6.0, 4.0, 9.0, 1.0, 5.0, 9.0]",False,400,0.5,1024
58,512,1.0,204111,62.78800129999581,"[7.0, 2.0, 0.0, 8.0, 6.0, 4.0, 9.0, 1.0, 5.0, 9.0]",False,400,0.5,1024
59,1024,1.0,204111,62.78800129999581,"[7.0, 2.0, 0.0, 8.0, 6.0, 4.0, 9.0, 1.0, 5.0, 9.0]",False,400,0.5,1024
60,0,11.0,400,0.08265369999571703,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",False,400,0.75,1024
61,1,3.0,802,0.2128453999903286,"[4.0, 8.0, 1.0, 5.0, 7.0, 0.0, 2.0, 3.0, 5.0, 9.0]",False,400,0.75,1024
62,2,3.0,1203,0.34646210000209976,"[4.0, 8.0, 1.0, 5.0, 7.0, 0.0, 2.0, 3.0, 5.0, 9.0]",False,400,0.75,1024
63,4,3.0,2005,0.6107841999910306,"[4.0, 8.0, 1.0, 5.0, 7.0, 0.0, 2.0, 3.0, 5.0, 9.0]",False,400,0.75,1024
64,8,2.0,3610,1.1418886000028579,"[5.0, 0.0, 9.0, 6.0, 8.0, 2.0, 7.0, 1.0, 6.0, 1.0]",False,400,0.75,1024
65,16,1.0,6819,2.3613496999896597,"[3.0, 7.0, 4.0, 2.0, 9.0, 6.0, 1.0, 5.0, 2.0, 0.0]",False,400,0.75,1024
66,32,1.0,13235,4.4847276999935275,"[3.0, 7.0, 4.0, 2.0, 9.0, 6.0, 1.0, 5.0, 2.0, 0.0]",False,400,0.75,1024
67,64,1.0,26067,8.57123689999571,"[3.0, 7.0, 4.0, 2.0, 9.0, 6.0, 1.0, 5.0, 2.0, 0.0]",False,400,0.75,1024
68,128,1.0,51731,16.80816469999263,"[3.0, 7.0, 4.0, 2.0, 9.0, 6.0, 1.0, 5.0, 2.0, 0.0]",False,400,0.75,1024
69,256,1.0,103059,33.06076049999683,"[3.0, 7.0, 4.0, 2.0, 9.0, 6.0, 1.0, 5.0, 2.0, 0.0]",False,400,0.75,1024
70,512,1.0,205715,65.64200329998857,"[3.0, 7.0, 4.0, 2.0, 9.0, 6.0, 1.0, 5.0, 2.0, 0.0]",False,400,0.75,1024
71,1024,1.0,206918,66.02486479999789,"[3.0, 7.0, 4.0, 2.0, 9.0, 6.0, 1.0, 5.0, 2.0, 0.0]",False,400,0.75,1024
72,0,11.0,600,0.1235931000119308,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",False,600,0.25,1024
73,1,4.0,1202,0.2930458000046201,"[4.0, 7.0, 8.0, 2.0, 9.0, 6.0, 9.0, 0.0, 0.0, 5.0]",False,600,0.25,1024
74,2,2.0,1804,0.4662562000012258,"[9.0, 3.0, 6.0, 8.0, 2.0, 0.0, 0.0, 7.0, 5.0, 1.0]",False,600,0.25,1024
75,4,2.0,3006,0.8066747000120813,"[9.0, 3.0, 6.0, 8.0, 2.0, 0.0, 0.0, 7.0, 5.0, 1.0]",False,600,0.25,1024
76,8,2.0,5410,1.4818359000055352,"[9.0, 3.0, 6.0, 8.0, 2.0, 0.0, 0.0, 7.0, 5.0, 1.0]",False,600,0.25,1024
