,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,1300.0,0,0.00015120001626200974,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4, 2, 1, 3, 2, 3, 1, 4, 0, 3, 0, 1, 4, 4, 2, 2, 1, 0, 3, 0, 4, 4, 0, 4, 4, 0, 3, 1, 4, 4, 4, 2, 3, 1, 1, 2, 2, 2, 4, 3, 2]",25,1024,0
1,1,1300.0,1,0.0014244000194594264,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4, 2, 1, 3, 2, 3, 1, 4, 0, 3, 0, 1, 4, 4, 2, 2, 1, 0, 3, 0, 4, 4, 0, 4, 4, 0, 3, 1, 4, 4, 4, 2, 3, 1, 1, 2, 2, 2, 4, 3, 2]",25,1024,0
2,2,1312.0,3,0.002882900007534772,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4, 2, 1, 3, 2, 3, 1, 4, 0, 3, 0, 1, 4, 4, 2, 2, 1, 0, 3, 0, 4, 4, 0, 4, 4, 0, 3, 4, 4, 4, 4, 2, 3, 1, 1, 2, 2, 2, 4, 3, 2]",25,1024,0
3,4,1315.0,6,0.0040357999969273806,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4, 2, 1, 3, 2, 3, 1, 4, 0, 3, 0, 1, 4, 4, 2, 2, 1, 0, 3, 0, 4, 4, 0, 4, 4, 1, 3, 4, 4, 4, 4, 2, 3, 1, 1, 2, 2, 2, 4, 3, 2]",25,1024,0
4,8,1331.0,14,0.005724200018448755,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 1, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4, 4, 2, 3, 2, 3, 1, 4, 0, 3, 0, 1, 4, 4, 2, 2, 1, 0, 3, 0, 4, 4, 0, 4, 4, 3, 3, 4, 4, 4, 4, 2, 3, 1, 1, 2, 2, 2, 4, 3, 2]",25,1024,0
5,16,1343.0,23,0.007657600013772026,"[1, 2, 4, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 1, 3, 4, 2, 1, 2, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4, 4, 2, 3, 2, 3, 1, 4, 0, 3, 0, 1, 4, 4, 2, 2, 1, 0, 3, 0, 4, 4, 0, 4, 4, 3, 3, 4, 4, 4, 4, 2, 3, 1, 1, 2, 2, 2, 4, 3, 2]",25,1024,0
6,32,1374.0,42,0.010034600010840222,"[1, 2, 4, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 1, 3, 4, 2, 1, 3, 4, 4, 4, 4, 4, 4, 2, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4, 4, 2, 3, 2, 3, 1, 4, 0, 3, 0, 1, 4, 4, 2, 2, 1, 0, 3, 0, 4, 4, 0, 4, 4, 3, 4, 4, 4, 4, 4, 2, 3, 1, 4, 2, 2, 2, 4, 3, 2]",25,1024,0
7,64,1456.0,83,0.012826699996367097,"[1, 2, 4, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 4, 3, 0, 4, 2, 2, 1, 3, 4, 4, 1, 3, 4, 4, 4, 4, 4, 4, 3, 1, 2, 4, 1, 4, 2, 4, 2, 0, 3, 4, 4, 4, 4, 3, 2, 3, 1, 4, 4, 3, 0, 1, 4, 4, 3, 3, 1, 0, 3, 4, 4, 4, 0, 4, 4, 3, 4, 4, 4, 4, 4, 2, 3, 1, 4, 2, 2, 2, 4, 3, 2]",25,1024,0
8,128,1625.0,158,0.018270600005052984,"[4, 2, 4, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 4, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 4, 3, 4, 4, 4, 4, 1, 3, 4, 4, 1, 3, 4, 4, 4, 4, 4, 4, 3, 1, 2, 4, 1, 4, 2, 4, 2, 4, 3, 4, 4, 4, 4, 3, 4, 3, 1, 4, 4, 3, 1, 1, 4, 4, 3, 3, 1, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3, 1, 4, 2, 2, 2, 4, 3, 2]",25,1024,0
9,256,1650.0,288,0.031875899992883205,"[4, 2, 4, 1, 0, 3, 3, 3, 4, 4, 0, 2, 2, 4, 3, 4, 3, 2, 4, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 4, 3, 4, 4, 4, 4, 1, 3, 4, 4, 1, 3, 4, 4, 4, 4, 4, 4, 3, 1, 2, 4, 1, 4, 2, 4, 2, 4, 3, 4, 4, 4, 4, 3, 4, 3, 2, 4, 4, 3, 1, 1, 4, 4, 3, 3, 1, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3, 1, 4, 2, 2, 2, 4, 3, 2]",25,1024,0
