,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,11.0,0,0.0006229999999050051,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",25,1024,0
1,1,11.0,1,0.0020891000021947548,"[1, 2, 1, 8, 0, 7, 4, 8, 4, 2]",25,1024,0
2,2,9.0,3,0.0040055999998003244,"[1, 2, 1, 8, 0, 7, 4, 2, 4, 2]",25,1024,0
3,4,9.0,5,0.007090700004482642,"[1, 2, 1, 8, 0, 7, 4, 2, 4, 2]",25,1024,0
4,8,9.0,9,0.010259300004690886,"[1, 2, 1, 8, 0, 7, 4, 2, 4, 2]",25,1024,0
5,16,9.0,17,0.014341600006446242,"[1, 2, 1, 8, 0, 7, 4, 2, 4, 2]",25,1024,0
6,32,4.0,35,0.01964090000547003,"[1, 5, 1, 8, 0, 7, 4, 2, 8, 2]",25,1024,0
7,64,3.0,68,0.036174799999571405,"[1, 5, 1, 6, 0, 7, 4, 2, 8, 2]",25,1024,0
8,128,3.0,132,0.06029490000219084,"[1, 5, 1, 6, 0, 7, 4, 2, 8, 2]",25,1024,0
9,256,3.0,260,0.11855539999669418,"[1, 5, 1, 6, 0, 7, 4, 2, 8, 2]",25,1024,0
10,512,2.0,517,0.2550747000059346,"[1, 5, 1, 6, 0, 7, 4, 1, 8, 2]",25,1024,0
11,1024,2.0,922,0.5526437000080477,"[1, 5, 1, 6, 0, 7, 4, 1, 8, 2]",25,1024,0
12,0,10.0,922,0.5597338000079617,"[7, 8, 9, 9, 2, 9, 9, 2, 8, 5]",25,1024,1
13,1,8.0,924,0.5649799000093481,"[7, 8, 4, 9, 2, 9, 9, 2, 8, 5]",25,1024,1
14,2,8.0,925,0.5695493000093848,"[7, 8, 4, 9, 2, 9, 9, 2, 8, 5]",25,1024,1
15,4,6.0,928,0.578659200007678,"[7, 8, 4, 9, 2, 9, 9, 6, 8, 5]",25,1024,1
16,8,6.0,932,0.5849463000049582,"[7, 8, 4, 9, 2, 9, 9, 6, 8, 5]",25,1024,1
17,16,6.0,940,0.5952681000053417,"[7, 8, 4, 9, 2, 9, 9, 6, 8, 5]",25,1024,1
18,32,4.0,958,0.6104469999991124,"[7, 3, 4, 9, 2, 9, 9, 6, 8, 1]",25,1024,1
19,64,2.0,992,0.634167800002615,"[7, 3, 7, 9, 2, 0, 9, 6, 8, 1]",25,1024,1
20,128,2.0,1056,0.6841878999985056,"[7, 3, 7, 9, 2, 0, 9, 6, 8, 1]",25,1024,1
21,256,2.0,1184,0.7871419000002788,"[7, 3, 7, 9, 2, 0, 9, 6, 8, 1]",25,1024,1
22,512,2.0,1440,0.9937955000059446,"[7, 3, 7, 9, 2, 0, 9, 6, 8, 1]",25,1024,1
23,1024,2.0,1470,1.020393700004206,"[7, 3, 7, 9, 2, 0, 9, 6, 8, 1]",25,1024,1
24,0,10.0,1470,1.0252909999981057,"[0, 0, 8, 0, 4, 3, 3, 1, 1, 5]",25,1024,2
25,1,8.0,1472,1.0294204000092577,"[0, 0, 8, 0, 4, 8, 3, 1, 1, 5]",25,1024,2
26,2,8.0,1473,1.0347527999983868,"[0, 0, 8, 0, 4, 8, 3, 1, 1, 5]",25,1024,2
27,4,7.0,1476,1.0410986000060802,"[0, 0, 8, 0, 8, 8, 3, 1, 1, 5]",25,1024,2
28,8,5.0,1482,1.0485435000009602,"[0, 0, 8, 0, 8, 8, 7, 1, 3, 5]",25,1024,2
29,16,5.0,1490,1.0591678000055254,"[0, 0, 8, 0, 8, 8, 7, 1, 3, 5]",25,1024,2
30,32,4.0,1507,1.0770534000039333,"[0, 0, 8, 0, 8, 4, 7, 1, 3, 5]",25,1024,2
31,64,2.0,1541,1.125754799999413,"[2, 4, 8, 0, 8, 4, 7, 1, 3, 5]",25,1024,2
32,128,1.0,1606,1.2163091999973403,"[2, 6, 8, 0, 8, 4, 7, 1, 3, 5]",25,1024,2
33,256,1.0,1734,1.3478950999997323,"[2, 6, 8, 0, 8, 4, 7, 1, 3, 5]",25,1024,2
34,512,1.0,1990,1.6310115000087535,"[2, 6, 8, 0, 8, 4, 7, 1, 3, 5]",25,1024,2
35,1024,1.0,2045,1.7015320000064094,"[2, 6, 8, 0, 8, 4, 7, 1, 3, 5]",25,1024,2
