,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,11.0,0,0.0022219999227672815,"[1, 2, 2, 1, 0, 3, 7, 3]",geometric,0.1,0.99,0.001,0.09999776684038636,0.1,1024
1,1,9.0,2,0.009981299983337522,"[1, 2, 2, 0, 0, 3, 7, 3]",geometric,0.1,0.99,0.001,0.09998996896143361,0.1,1024
2,2,8.0,4,0.013444399926811457,"[1, 2, 2, 0, 0, 3, 7, 5]",geometric,0.1,0.99,0.001,0.09998648883937822,0.1,1024
3,4,8.0,7,0.020578299881890416,"[1, 2, 2, 5, 0, 3, 7, 5]",geometric,0.1,0.99,0.001,0.09997932025604318,0.1,1024
4,8,5.0,13,0.02719169994816184,"[1, 2, 7, 5, 0, 3, 5, 5]",geometric,0.1,0.99,0.001,0.09997267516222334,0.1,1024
5,16,4.0,24,0.04041699995286763,"[1, 2, 7, 5, 3, 0, 5, 5]",geometric,0.1,0.99,0.001,0.09995938780661301,0.1,1024
6,32,4.0,47,0.05752439983189106,"[1, 5, 7, 5, 0, 0, 3, 4]",geometric,0.1,0.99,0.001,0.09994220275523791,0.1,1024
7,64,1.0,86,0.07920249993912876,"[1, 5, 2, 6, 3, 0, 7, 4]",geometric,0.1,0.99,0.001,0.09992043050084612,0.1,1024
8,128,1.0,155,0.12246509990654886,"[1, 5, 2, 6, 3, 0, 4, 7]",geometric,0.1,0.99,0.001,0.09987699417581958,0.1,1024
9,256,1.0,295,0.20464709983207285,"[1, 7, 2, 6, 3, 5, 0, 4]",geometric,0.1,0.99,0.001,0.09979453416215613,0.1,1024
10,512,0.0,559,0.34497889992780983,"[1, 5, 0, 6, 3, 7, 2, 4]",geometric,0.1,0.99,0.001,0.09965388498305981,0.1,1024
11,1024,0.0,961,0.6505052000284195,"[1, 5, 0, 6, 3, 7, 2, 4]",geometric,0.1,0.99,0.001,0.09934835291539032,0.1,1024
12,0,11.0,0,0.0005187999922782183,"[1, 2, 2, 1, 0, 3, 7, 3]",geometric,0.5,0.99,0.001,0.4999973929497151,0.5,1024
13,1,9.0,2,0.005341799929738045,"[1, 2, 2, 0, 0, 3, 7, 3]",geometric,0.5,0.99,0.001,0.4999731572788794,0.5,1024
14,2,8.0,4,0.01167499995790422,"[1, 2, 2, 0, 0, 3, 7, 5]",geometric,0.5,0.99,0.001,0.4999413346065643,0.5,1024
15,4,8.0,7,0.01520519983023405,"[1, 2, 2, 5, 0, 3, 7, 5]",geometric,0.5,0.99,0.001,0.4999235971554826,0.5,1024
16,8,5.0,13,0.020887999795377254,"[1, 2, 7, 5, 0, 3, 5, 5]",geometric,0.5,0.99,0.001,0.4998950453104029,0.5,1024
17,16,4.0,24,0.031372400000691414,"[1, 2, 7, 5, 3, 0, 5, 5]",geometric,0.5,0.99,0.001,0.49984237327313946,0.5,1024
18,32,4.0,47,0.04611799982376397,"[1, 5, 7, 5, 0, 0, 3, 4]",geometric,0.5,0.99,0.001,0.4997683030065267,0.5,1024
19,64,1.0,86,0.06686499994248152,"[1, 5, 2, 6, 3, 0, 7, 4]",geometric,0.5,0.99,0.001,0.499664105022858,0.5,1024
20,128,1.0,155,0.10207569994963706,"[1, 5, 2, 6, 3, 0, 4, 7]",geometric,0.5,0.99,0.001,0.4994873154917315,0.5,1024
21,256,1.0,295,0.18341810000129044,"[1, 7, 2, 6, 3, 5, 0, 4]",geometric,0.5,0.99,0.001,0.4990791422682477,0.5,1024
22,512,0.0,559,0.38797009992413223,"[1, 5, 0, 6, 3, 7, 2, 4]",geometric,0.5,0.99,0.001,0.49805418116008193,0.5,1024
23,1024,0.0,961,0.8111848998814821,"[1, 5, 0, 6, 3, 7, 2, 4]",geometric,0.5,0.99,0.001,0.49594023114444097,0.5,1024
24,0,11.0,0,0.0026324999053031206,"[1, 2, 2, 1, 0, 3, 7, 3]",geometric,0.75,0.99,0.001,0.7499801571313607,0.75,1024
25,1,9.0,2,0.01142029999755323,"[1, 2, 2, 0, 0, 3, 7, 3]",geometric,0.75,0.99,0.001,0.7499139215521518,0.75,1024
26,2,8.0,4,0.02196119981817901,"[1, 2, 2, 0, 0, 3, 7, 5]",geometric,0.75,0.99,0.001,0.7498344801917867,0.75,1024
27,4,8.0,7,0.030683199875056744,"[1, 2, 2, 5, 0, 3, 7, 5]",geometric,0.75,0.99,0.001,0.7497687533094975,0.75,1024
28,8,7.0,14,0.040907599963247776,"[1, 2, 2, 5, 0, 3, 5, 5]",geometric,0.75,0.99,0.001,0.7496917120394027,0.75,1024
29,16,6.0,27,0.05002379999496043,"[5, 2, 1, 3, 0, 4, 5, 0]",geometric,0.75,0.99,0.001,0.7496230277774987,0.75,1024
