,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,433.0,0,0.0001387999946018681,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 0, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1]",geometric,0.1,0.99,0.001,0.09999986050144108,0.1,1024
1,1,448.0,2,0.0013820999884046614,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 3, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1]",geometric,0.1,0.99,0.001,0.09999861095274071,0.1,1024
2,2,448.0,3,0.0024230999988503754,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 3, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 1]",geometric,0.1,0.99,0.001,0.0999975647327736,0.1,1024
3,4,472.0,6,0.0035124999994877726,"[1, 2, 2, 1, 0, 3, 3, 3, 0, 4, 3, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 0, 4, 2, 2, 0, 3, 4, 2, 4]",geometric,0.1,0.99,0.001,0.09999646988184212,0.1,1024
4,8,525.0,13,0.004764699988299981,"[1, 3, 2, 1, 3, 3, 3, 3, 0, 4, 3, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 4, 4, 2, 2, 0, 3, 4, 2, 4]",geometric,0.1,0.99,0.001,0.09999521143114326,0.1,1024
5,16,542.0,23,0.006088199996156618,"[1, 3, 2, 1, 3, 3, 3, 3, 0, 4, 3, 2, 2, 4, 3, 4, 3, 2, 3, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 4, 4, 2, 2, 2, 3, 4, 2, 4]",geometric,0.1,0.99,0.001,0.09999388134172707,0.1,1024
6,32,543.0,40,0.008725599996978417,"[1, 3, 2, 1, 3, 3, 4, 3, 0, 4, 3, 2, 2, 4, 3, 4, 3, 2, 3, 2, 2, 4, 4, 4, 4, 4, 3, 1, 4, 3, 3, 4, 4, 2, 2, 2, 3, 4, 2, 4]",geometric,0.1,0.99,0.001,0.09999123086346197,0.1,1024
7,64,561.0,75,0.011838999998872168,"[2, 3, 2, 1, 3, 3, 4, 3, 0, 4, 3, 2, 2, 4, 3, 4, 3, 2, 3, 2, 2, 4, 4, 4, 4, 4, 3, 2, 4, 4, 3, 4, 4, 2, 2, 2, 3, 4, 2, 4]",geometric,0.1,0.99,0.001,0.09998810211523863,0.1,1024
8,128,565.0,141,0.017143899996881373,"[2, 3, 2, 1, 3, 3, 4, 3, 2, 4, 3, 2, 2, 4, 3, 4, 3, 2, 3, 2, 2, 4, 4, 4, 4, 4, 3, 2, 4, 4, 3, 4, 4, 2, 2, 2, 3, 4, 2, 4]",geometric,0.1,0.99,0.001,0.09998277128903216,0.1,1024
9,256,565.0,269,0.031145099987043068,"[2, 3, 2, 1, 3, 3, 4, 3, 2, 4, 3, 2, 2, 4, 3, 4, 3, 2, 3, 2, 2, 4, 4, 4, 4, 4, 3, 2, 4, 4, 3, 4, 4, 2, 2, 2, 3, 4, 2, 4]",geometric,0.1,0.99,0.001,0.09996870302701862,0.1,1024
