,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,46.0,0,0.0033340999943902716,"[1, 42, 50, 49, 56, 43, 47, 43, 27, 32, 23, 36, 8, 10, 10, 12, 11, 20, 43, 47, 50, 22, 38, 55, 34, 14, 6, 42, 2, 47, 4, 30, 45, 52, 23, 52, 20, 20, 45, 59, 5, 49, 23, 36, 11, 35, 29, 39, 16, 34, 18, 15, 47, 32, 27, 20, 58, 17, 10, 46]",geometric,0.1,0.99,0.001,0.09999664917367017,0.1,1024
1,1,46.0,2,0.008174899994628504,"[1, 42, 50, 49, 56, 43, 47, 43, 27, 32, 23, 36, 8, 10, 10, 12, 11, 20, 43, 47, 50, 22, 38, 55, 34, 14, 6, 42, 21, 47, 4, 30, 45, 52, 23, 52, 20, 20, 45, 59, 5, 49, 23, 36, 11, 35, 29, 39, 16, 34, 18, 15, 47, 32, 27, 20, 58, 17, 10, 46]",geometric,0.1,0.99,0.001,0.09999178428845659,0.1,1024
2,2,46.0,3,0.01058970000303816,"[1, 42, 50, 49, 56, 43, 47, 43, 27, 32, 23, 36, 8, 10, 10, 12, 11, 20, 43, 47, 50, 22, 38, 55, 34, 14, 6, 42, 21, 47, 4, 30, 45, 52, 23, 52, 20, 20, 45, 59, 5, 49, 23, 36, 11, 35, 29, 39, 16, 34, 18, 15, 47, 32, 27, 20, 58, 17, 10, 46]",geometric,0.1,0.99,0.001,0.09998935756218576,0.1,1024
3,4,46.0,5,0.013497099993401207,"[1, 42, 50, 49, 56, 43, 47, 43, 27, 32, 23, 36, 8, 10, 10, 12, 11, 20, 43, 47, 50, 22, 38, 55, 34, 14, 6, 42, 21, 47, 4, 30, 45, 52, 23, 52, 20, 20, 45, 59, 5, 49, 23, 36, 11, 35, 29, 39, 16, 34, 18, 15, 47, 32, 27, 20, 58, 17, 10, 46]",geometric,0.1,0.99,0.001,0.09998643588121159,0.1,1024
4,8,41.0,11,0.021682000005966984,"[1, 42, 50, 49, 56, 43, 47, 43, 27, 32, 23, 36, 8, 10, 10, 12, 11, 20, 43, 47, 50, 22, 38, 55, 34, 14, 6, 42, 21, 47, 4, 30, 45, 52, 23, 52, 20, 51, 45, 59, 5, 49, 23, 36, 11, 35, 29, 39, 16, 34, 18, 15, 47, 57, 27, 20, 58, 17, 10, 46]",geometric,0.1,0.99,0.001,0.09997821123589251,0.1,1024
5,16,39.0,23,0.03571409999858588,"[1, 42, 35, 49, 56, 43, 47, 43, 27, 32, 23, 36, 8, 10, 10, 12, 11, 33, 43, 47, 50, 22, 38, 55, 34, 14, 6, 42, 21, 47, 4, 30, 37, 52, 23, 52, 20, 51, 45, 59, 5, 49, 23, 36, 11, 35, 29, 39, 3, 34, 18, 15, 47, 57, 27, 20, 58, 17, 10, 46]",geometric,0.1,0.99,0.001,0.09996411257110971,0.1,1024
6,32,36.0,49,0.06503389999852516,"[1, 20, 35, 49, 2, 43, 47, 2, 27, 20, 23, 36, 8, 10, 10, 12, 41, 33, 43, 22, 50, 22, 38, 55, 34, 14, 6, 42, 21, 47, 4, 30, 37, 49, 13, 52, 20, 51, 45, 59, 5, 49, 23, 36, 11, 35, 29, 39, 3, 34, 18, 15, 39, 57, 27, 20, 58, 17, 10, 46]",geometric,0.1,0.99,0.001,0.09993466010212954,0.1,1024
7,64,31.0,90,0.11068019999947865,"[1, 20, 35, 49, 2, 43, 47, 2, 30, 20, 23, 36, 8, 10, 14, 12, 41, 33, 43, 22, 50, 48, 38, 55, 34, 14, 6, 42, 21, 47, 4, 30, 56, 49, 13, 52, 20, 51, 45, 59, 5, 31, 23, 36, 11, 35, 29, 38, 3, 34, 18, 15, 19, 57, 27, 42, 58, 17, 24, 46]",geometric,0.1,0.99,0.001,0.09988882452753811,0.1,1024
8,128,22.0,170,0.1934798000002047,"[1, 20, 35, 49, 2, 43, 47, 2, 30, 20, 23, 20, 8, 10, 14, 12, 41, 33, 48, 22, 50, 29, 29, 55, 34, 17, 6, 42, 21, 47, 4, 30, 56, 3, 13, 52, 20, 51, 16, 59, 5, 31, 23, 36, 11, 22, 29, 38, 3, 34, 18, 15, 32, 57, 27, 16, 58, 5, 24, 53]",geometric,0.1,0.99,0.001,0.09980573524162857,0.1,1024
9,256,17.0,316,0.35470169999462087,"[1, 46, 54, 49, 2, 43, 47, 2, 30, 20, 23, 20, 8, 10, 14, 12, 41, 33, 46, 22, 50, 9, 58, 55, 34, 17, 45, 42, 35, 6, 4, 29, 56, 3, 13, 52, 25, 51, 16, 59, 27, 31, 19, 2, 11, 57, 29, 38, 3, 34, 26, 15, 32, 57, 27, 7, 58, 5, 24, 53]",geometric,0.1,0.99,0.001,0.09964414753967729,0.1,1024
