,n_components,covariance_type,bic_score,std_bic_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
2,4,full,63695.97183304014,997.2300640430046,0.10729751586914063,0.022267700156013207,0.0010010242462158204,1.9073486328124998e-07
4,6,full,64122.62739359062,1034.3108010893845,0.18596911430358887,0.030116540195156763,0.0014011859893798828,0.0004902712960007588
5,7,full,64273.22388914749,1025.7884704755545,0.22460417747497557,0.05478757663812358,0.0016016483306884766,0.0004903297601418762
3,5,full,64339.2281036536,545.796024164212,0.13332161903381348,0.0293005159689603,0.00120086669921875,0.00040032864681882504
1,3,full,64388.24360459899,741.7396254810687,0.05504984855651855,0.009641873356795214,0.001401519775390625,0.0004902907415388204
7,9,full,64998.48718390048,1089.0257915551808,0.3681344032287598,0.0860631675602755,0.0014020442962646485,0.0004906411670062158
0,2,full,65110.959885106786,2578.237491431609,0.033429861068725586,0.013556671000350823,0.0010012149810791015,2.4314019744838644e-07
6,8,full,65201.59865235933,757.3521267976067,0.2744494915008545,0.08569184844517382,0.001401233673095703,0.0004903296673986999
8,10,full,65621.61235607494,733.6367129411974,0.3661328315734863,0.04379115959230397,0.0020018577575683593,4.156969970265077e-07
9,11,full,66305.02709502478,1038.6864216742829,0.4843460559844971,0.10131636028041563,0.002001953125,2.78041453115716e-07
11,13,full,67680.88286669736,950.3742342242555,0.6572988510131836,0.1352195625807002,0.0020018100738525392,1.784161275279017e-07
10,12,full,67727.7306152669,523.4688968067692,0.47443127632141113,0.054613371542468515,0.001201295852661133,0.00040035250642402915
12,14,full,68109.51150987683,1118.765174946226,0.7132482528686523,0.20892591496119037,0.0020022869110107424,5.7220458984375e-07
13,15,full,69198.24093422729,862.2721137855541,0.6257688999176025,0.17584328503677532,0.0020018100738525392,1.784161275279017e-07
14,16,full,69636.7544872612,747.6641602773026,0.7839132308959961,0.12684706728545672,0.0020017623901367188,2.132480599880018e-07
15,17,full,70262.36165117295,1114.4856983871784,0.8693930149078369,0.15335418476747387,0.002402067184448242,0.0004903686782676375
16,18,full,71023.2725717358,962.0434145250687,0.8061334609985351,0.04991558618684352,0.0024019718170166016,0.0004900571168092678
17,19,full,71927.18952145061,798.8368734956276,0.8079349994659424,0.04642064584453073,0.002602100372314453,0.0004902712728122015
18,20,full,72645.05908227297,651.8701044255768,1.0447850227355957,0.15033629661899528,0.0028023719787597656,0.00040042418459757293
19,21,full,73595.8421376778,728.9834615271722,1.1769710063934327,0.21458940196960488,0.0024023532867431642,0.0004903296673987
20,22,full,73915.27825316516,1305.3390651902678,1.1827768802642822,0.14735449804895295,0.002602386474609375,0.0004904075191221414
21,23,full,74645.92855925106,571.6058366482612,1.136633825302124,0.0989988018405175,0.0026023387908935547,0.0004902714583206292
22,24,full,75293.25961078666,856.0790305108554,1.256443977355957,0.15527502512121055,0.003202676773071289,0.00040042404263954166
23,25,full,76523.34629292991,793.7374773797669,1.2461235523223877,0.21051659883329282,0.0030028820037841797,2.132480599880018e-07
24,26,full,77013.52728170161,899.4379507830737,1.4425061225891114,0.21825797416333895,0.0032029151916503906,0.000400305035712037
26,28,full,78345.18751909664,1031.844051240302,1.423694658279419,0.17391052642443924,0.003803539276123047,0.0004005670653915881
25,27,full,78514.62322911617,1193.0677170022493,1.2953782558441163,0.149892644783576,0.003603219985961914,0.0004901739871597101
27,29,full,79390.7315314797,1242.799985184108,1.4925911903381348,0.20846177307030675,0.0038036346435546876,0.00040049554336807623
28,30,full,79801.96248705588,886.9213926000797,1.8506844520568848,0.18302649626474093,0.0038038253784179687,0.00040071031513459445
29,31,full,81310.72919090325,1361.0844739024476,1.6957422256469727,0.20688374868194923,0.003803586959838867,0.00040094873358927525
30,32,full,81385.94219307773,1032.1317738487555,1.7786179065704346,0.24872522696078855,0.0040035247802734375,6.572746635480032e-07
31,33,full,82294.44237646337,753.0427429208505,2.152356719970703,0.20520429027764336,0.004004049301147461,5.519789172549356e-07
32,34,full,83215.67991115016,810.1853262603267,2.268222284317017,0.21996211777268976,0.0040038108825683595,4.623107774177865e-07
33,35,full,83899.74503603175,1080.9773604441991,2.270231342315674,0.13992290324893836,0.0042038440704345705,0.0004002810767112965
34,36,full,85004.81649447401,1088.04160785366,2.253323698043823,0.19528780552672478,0.004604196548461914,0.0004906411901772912
35,37,full,85823.96322440538,1920.1719421127034,2.27670636177063,0.35690458223016136,0.0050046443939208984,3.371747880871523e-07
36,38,full,86453.1417699625,1072.039462578563,2.3687283515930178,0.13695908761760206,0.004804277420043945,0.000400257281016381
38,40,full,87929.98978948039,812.5728665240737,2.42561559677124,0.33363826888704123,0.00420379638671875,0.0004001861070283514
37,39,full,88005.79783934602,1922.3286334698516,2.543040943145752,0.27571859149275996,0.005004596710205078,3.814697265625e-07
