,n_components,covariance_type,bic_score,std_bic_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
2,12,full,150208.6940124742,13248.83053114413,0.8920125484466552,0.2153686210487121,0.007314109802246093,0.00042775808357881166
1,7,full,201354.02622016307,21148.372882505922,0.686857271194458,0.199564824166043,0.004710054397583008,0.00037625058280863833
0,2,full,242300.66402434494,2247.9035540642403,0.2272897720336914,0.12189878434841103,0.0019819259643554686,0.0006416725086137351
3,17,full,244388.7804531143,95363.13508027102,1.675544548034668,0.3644139175155749,0.011030864715576173,0.00013105194183013434
4,22,full,1190459.1755676107,1335148.9279173494,2.063205289840698,0.44947131780780086,0.013501882553100586,0.00044663158030487995
5,27,full,3302756.8783774166,4386470.317539324,1.9410916328430177,0.3048385819906294,0.016856908798217773,0.0007668137823706043
6,32,full,10460386.309953243,9468438.509387033,2.531255769729614,0.5787877204296211,0.019173097610473634,0.00029622344736770866
7,37,full,18885095.993222967,11390409.832390144,3.0412835597991945,0.9131800645014876,0.021760320663452147,0.001066367543862272
9,47,full,24516728.744442504,24188715.867540356,4.275904798507691,0.49830275299286736,0.02852010726928711,0.000838474843900598
8,42,full,25512370.85448733,19966361.085373923,3.2881360054016113,0.5185784578219401,0.025838947296142577,0.0006718090609236939
10,52,full,31945305.902576227,35540305.52403192,3.517921733856201,0.2556718948237263,0.031823015213012694,0.0014389297945304532
11,57,full,33537492.616089135,30193906.061976064,4.27145414352417,1.0399572625527032,0.03381223678588867,0.0006908642195399045
