,n_components,covariance_type,bic_score,std_bic_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
14,16,full,-28313.14647790977,61.68839162886196,0.03923563957214356,0.001471261478078132,0.002402067184448242,0.0004901740335460282
13,15,full,-28279.96623502438,76.89006481370619,0.03603305816650391,0.0006332397389124674,0.0024018287658691406,0.0004903697447282578
15,17,full,-28269.68111281615,61.68839162886196,0.043639755249023436,0.002873023030468868,0.0026023387908935547,0.00049007682138151
16,18,full,-28226.21574772253,61.68839162886196,0.04544134140014648,0.0018564814891118004,0.0030027389526367187,0.0006330128774648861
17,19,full,-28182.750382628903,61.68839162886196,0.04644198417663574,0.002418596685911182,0.0028026580810546877,0.00040068630659763013
18,20,full,-28139.285017535283,61.68839162886196,0.04777417182922363,0.001163792037481155,0.0030028820037841797,1.5078914929239175e-07
19,21,full,-28095.819652441667,61.68839162886196,0.051447153091430664,0.0017451343617584146,0.0030025959014892576,3.504023183989303e-07
20,22,full,-28052.354287348047,61.68839162886196,0.052447271347045896,0.0013577949291154287,0.0030029296875,1.784161275279017e-07
21,23,full,-28008.888922254428,61.68839162886196,0.05525021553039551,0.002137261648445168,0.0034032344818115236,0.0004902323237633037
22,24,full,-27965.423557160808,61.68839162886196,0.05905332565307617,0.0016749085944615517,0.0032034397125244142,0.00040016188521514495
23,25,full,-27921.958192067184,61.68839162886196,0.06125555038452148,0.0014710927704315233,0.0034032821655273437,0.0004905827260720403
24,26,full,-27878.492826973572,61.68839162886196,0.06425819396972657,0.001600909257060459,0.0038036823272705076,0.00040052011968253295
25,27,full,-27835.027461879945,61.68839162886196,0.06766128540039062,0.0030751874965411845,0.0036036491394042967,0.0008005263777767113
26,28,full,-27791.562096786325,61.68839162886196,0.07066397666931153,0.006776813083455112,0.003603553771972656,0.0004897654224477062
27,29,full,-27748.096731692705,61.68839162886196,0.07056522369384766,0.003318879407785939,0.0038034915924072266,0.000400305035712037
12,14,full,-27720.372240393706,398.627636657122,0.03303065299987793,0.0006327866712936432,0.002601766586303711,0.0004904855949086541
28,30,full,-27704.631366599082,61.68839162886196,0.07246584892272949,0.0038814727691387635,0.004604148864746094,0.000800216256127496
29,31,full,-27661.16600150547,61.68839162886196,0.07947254180908203,0.005319042810134938,0.004203653335571289,0.0004001379403725326
30,32,full,-27617.700636411842,61.68839162886196,0.07747044563293456,0.00393276871091366,0.004404020309448242,0.000800871882774096
31,33,full,-27574.235271318223,61.68839162886196,0.07907209396362305,0.0017906439635286128,0.004203653335571289,0.0004004955717546177
32,34,full,-27530.769906224603,61.68839162886196,0.08067317008972168,0.003009530782182352,0.004604530334472656,0.0004899403160383116
33,35,full,-27487.304541130987,61.68839162886196,0.08507752418518066,0.003165230125324219,0.005004501342773438,0.0006330128774648862
34,36,full,-27443.839176037367,61.68839162886196,0.08587822914123536,0.0025633018874434465,0.00440373420715332,0.0004905439083605441
35,37,full,-27400.373810943747,61.68839162886196,0.08968167304992676,0.0037772943096153057,0.005204677581787109,0.0007486473222080429
36,38,full,-27356.908445850124,61.68839162886196,0.08948149681091308,0.004458192211208932,0.004804134368896484,0.0007489654240177325
37,39,full,-27313.44308075651,61.68839162886196,0.09088315963745117,0.002402894065180889,0.004404115676879883,0.0004903296673986999
38,40,full,-27269.977715662884,61.688391628861616,0.09588742256164551,0.005158621281688064,0.005004167556762695,3.015782985847835e-07
39,41,full,-27226.512350569265,61.68839162886196,0.09368524551391602,0.0018563375208158247,0.005805349349975586,0.0014709889480959075
9,11,full,-27192.94517644088,133.43698059116355,0.06105561256408691,0.000632862228440999,0.002001667022705078,5.761645304486548e-07
40,42,full,-27183.046985475645,61.68839162886196,0.10049147605895996,0.0037770036987542998,0.006005144119262696,0.0008950556036410555
41,43,full,-27139.58162038202,61.68839162886196,0.09728875160217285,0.0016013802230985263,0.005404853820800781,0.000800896201936432
42,44,full,-27096.11625528841,61.68839162886196,0.10509581565856933,0.005408605341860667,0.005204391479492187,0.00040044804418840085
43,45,full,-27052.650890194782,61.68839162886196,0.10329418182373047,0.003658829151889284,0.005805206298828125,0.000748506635355552
11,13,full,-27031.334396174625,429.9493643136864,0.032830095291137694,0.004122124247284004,0.0024020195007324217,0.0004900184848258049
44,46,full,-27009.185525101162,61.68839162886196,0.10869898796081542,0.0030755630557520014,0.005604982376098633,0.0008008480426916653
45,47,full,-26965.720160007546,61.68839162886196,0.10969924926757812,0.004033006392469495,0.005805206298828125,0.0007492076962145536
46,48,full,-26922.254794913926,61.68839162886196,0.10929937362670898,0.005569518194706233,0.005804967880249023,0.0004005194384467368
47,49,full,-26878.789429820306,61.68839162886196,0.11530508995056152,0.0043120056408630925,0.006005382537841797,4.422005889652111e-07
10,12,full,-26432.250740539857,182.96282265711363,0.03763432502746582,0.0010206091739520088,0.0020016193389892577,3.568322550558034e-07
8,10,full,-26186.112098372927,542.8254984245872,0.058853435516357425,0.005641022420460872,0.0018021106719970704,0.0004003763589283707
7,9,full,-25537.3049830059,578.9647175897951,0.047442960739135745,0.0023346813825110765,0.0020020008087158203,3.015782985847835e-07
6,8,full,-24574.696016122547,632.5747835656485,0.033229923248291014,0.006247724190346263,0.0016016960144042969,0.0004902712728122015
