,num_clusters,mean_fit_time,std_fit_time,mean_s_score,std_s_score,mean_v_score,std_v_score,mean_ch_score,std_ch_score,mean_ar_score,std_ar_score
0,5,0.3608632200863212,0.06339924390075531,0.8496897062686483,0.0007306695673694321,0.004607586407423995,0.0011708786535369032,1873.2977298361523,104.26953045741375,6.799681630355622e-05,0.0009129523783506739
1,6,0.4972842399962246,0.05873434619920869,0.9149350468478392,0.0,0.007679763766856822,0.0,2800.645304438053,2.2737367544323206e-13,-0.00018932998162961734,0.0
2,7,0.6113907799590379,0.04462222523276134,0.9230739817836217,0.03321861319442222,0.006940263093945784,0.001522257623730078,2787.6383605643837,845.3184577513982,-0.000532022913853531,0.00038805124861087786
3,8,0.674763820040971,0.031749635290682275,0.9614520677737876,0.0029988058834739015,0.007766471937994424,0.0010223490229231836,4805.438892385908,232.1038667830847,-0.0008746387230641258,0.0001741241071466404
4,9,0.669283779989928,0.0928054604900145,0.9678712138823599,0.004741039786982894,0.008292592964292623,0.0009354054448648532,5475.3364171382555,1840.2479201086662,-0.0008576051074369026,0.00024102919887894977
5,10,0.5562053999863565,0.04113038124048182,0.9773519271051152,0.005934402781630861,0.00820713038090439,0.0006649847999187701,7917.727251022565,2951.582723349564,-0.0009563996439592784,0.00021891883575260557
6,11,0.5453428800217808,0.02395971911190365,0.9887696716681947,0.0,0.0076793773784820645,2.375367947065671e-18,14369.00152274484,0.0,-0.001187371345351368,0.0
7,12,0.5551466999575496,0.0251858851218997,0.9914070343055574,1.2412670766236366e-16,0.00826606121074321,1.734723475976807e-18,15730.793472761055,9.094947017729282e-13,-0.001194142290989126,0.0
8,13,0.46655811998061836,0.03349777925330857,0.9967156125331631,0.0025411807668447436,0.00965276132876466,0.0008017599457658595,102633.66994045638,69095.99898383587,-0.0008899731619724227,0.0003913360518066572
9,14,0.49690760001540185,0.04256326292835512,0.9985714285714286,0.0,0.010238284006098098,1.2266347333466993e-18,153094.25297619097,0.0,-0.0011757646061584448,0.0
10,15,0.5258529600221664,0.029082049006229866,0.9991428571428573,0.0003194382824999986,0.010232011002644273,3.5067155364603983e-06,1.722006504669717e+30,9.62630900534574e+29,-0.001182046090267212,3.511456366697094e-06
11,16,0.5705250000115484,0.046795606076884703,0.9992857142857143,0.0,0.010230442751780816,1.939479807224432e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
12,17,0.5840003999881447,0.019542261685700005,0.9992857142857143,0.0,0.010230442751780814,1.939479807224432e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
13,18,0.6540303999092429,0.0296341208908431,0.9992857142857143,0.0,0.010230442751780816,1.2266347333466993e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
14,19,0.652769919950515,0.03309174324669099,0.9992857142857143,0.0,0.010230442751780817,2.1245936804851847e-18,2.1525081308371466e+30,398065729532860.8,-0.001183616461294404,0.0
15,20,0.6643407800234854,0.05881119303096776,0.9992857142857143,0.0,0.010230442751780816,8.673617379884035e-19,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
16,21,0.7437129999510944,0.013484848019910187,0.9992857142857143,0.0,0.010230442751780816,1.734723475976807e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
17,22,0.7871720199007541,0.0542448974936281,0.9992857142857143,0.0,0.010230442751780816,2.742838647325548e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
18,23,0.8334173600655049,0.03993248446606499,0.9992857142857143,0.0,0.010230442751780817,2.2948234554500807e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
19,24,0.9012640400324017,0.033512552813634765,0.9992857142857143,0.0,0.010230442751780816,1.5023145987371592e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
20,25,0.9364333800505846,0.044012610576087595,0.9992857142857143,0.0,0.010230442751780814,1.939479807224432e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
21,26,0.9693423200864345,0.014663092300244353,0.9992857142857143,0.0,0.01023044275178082,0.0,2.152508130837146e+30,445051015374261.2,-0.001183616461294404,0.0
22,27,1.0148256399203093,0.04198339426580168,0.9992857142857143,0.0,0.010230442751780814,1.734723475976807e-18,2.1525081308371457e+30,526591462900724.56,-0.001183616461294404,0.0
23,28,1.036418060027063,0.030713749483708818,0.9992857142857143,0.0,0.010230442751780812,2.1245936804851847e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
24,29,1.1462234200909733,0.059761463562810056,0.9992857142857143,0.0,0.010230442751780814,2.4532694666933987e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
25,30,1.0776537599507718,0.04674510977430517,0.9992857142857143,0.0,0.010230442751780816,2.2948234554500807e-18,2.152508130837146e+30,243764480361061.3,-0.001183616461294404,0.0
26,31,1.0944993800017984,0.04369432709321687,0.9992857142857143,0.0,0.010230442751780816,2.876713442418084e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
27,32,1.1164863199461252,0.04727045633930192,0.9992857142857143,0.0,0.010230442751780814,3.1273172206927508e-18,2.152508130837146e+30,398065729532860.8,-0.001183616461294404,0.0
28,33,1.1580337600316852,0.04062794221051731,0.9992857142857143,0.0,0.010230442751780816,1.5023145987371592e-18,2.1525081308371466e+30,314698590945098.5,-0.001183616461294404,0.0
29,34,1.1715892799198628,0.015336334207679691,0.9992857142857143,0.0,0.010230442751780816,1.734723475976807e-18,2.152508130837146e+30,281474976710656.0,-0.001183616461294404,0.0
