,num_components,mean_recon_error,std_recon_error
0,2,3.60455769663501e-15,0.0
1,7,-6.265373915409963e-14,0.0
2,12,-8.405825279310597e-14,0.0
3,17,-1.3165583471270313e-13,0.0
4,22,-2.2443843923418643e-13,2.822314574185922e-29
5,27,-3.3392503102398525e-13,0.0
6,32,-4.359865771471775e-13,0.0
7,37,-7.64943385766359e-13,1.1289258296743688e-28
8,42,-7.093091006268801e-13,0.0
9,47,-6.627444821645986e-13,0.0
10,52,-5.394510361413426e-13,0.0
11,57,-5.507375892959718e-13,0.0
12,62,-6.123022470691015e-13,0.0
13,67,-1.253786920320763e-12,0.0
14,72,-8.728712184858899e-13,0.0
15,77,-1.0920216273327008e-12,0.0
16,82,-1.7302991130583355e-12,0.0
17,87,-5.554220948944314e-13,0.0
18,92,-1.4559498990299498e-12,0.0
19,97,-1.2963310755924007e-12,0.0
20,102,-1.1143653981194127e-12,0.0
21,107,3.995541216983348e-13,0.0
22,112,-1.3043676055478283e-12,0.0
23,117,-8.536962671507318e-14,0.0
24,122,-2.600341701705161e-13,0.0
25,127,6.401119409571706,0.0
